cluster_id,protein_id
CPX-15,YDR082W
CPX-15,YLR010C
CPX-15,YDL220C
CPX-21,YNL312W
CPX-21,YAR007C
CPX-21,YJL173C
CPX-23,YKL012W
CPX-23,YLR298C
CPX-23,YHR086W
CPX-23,YLR147C
CPX-23,YOR159C
CPX-23,YML046W
CPX-23,YIL061C
CPX-23,YLR275W
CPX-23,YGR074W
CPX-23,YFL017W-A
CPX-23,YPR182W
CPX-23,YDR235W
CPX-23,YDR240C
CPX-23,YER029C
CPX-23,YDL087C
CPX-23,YBR119W
CPX-23,YGR013W
CPX-24,YBL026W
CPX-24,YER112W
CPX-24,YNL147W
CPX-24,YLR438C-A
CPX-24,YJR022W
CPX-24,YER146W
CPX-24,YMR268C
CPX-24,YDR378C
CPX-25,YNL147W
CPX-25,YOR159C
CPX-25,YER172C
CPX-25,YGR091W
CPX-25,YPR182W
CPX-25,YDL098C
CPX-25,YER112W
CPX-25,YPR178W
CPX-25,YLR275W
CPX-25,YDR473C
CPX-25,YJR022W
CPX-25,YER146W
CPX-25,YER029C
CPX-25,YFR005C
CPX-25,YEL026W
CPX-25,YPR082C
CPX-25,YHR165C
CPX-25,YLR147C
CPX-25,YLR438C-A
CPX-25,YFL017W-A
CPX-25,YDR243C
CPX-25,YBL026W
CPX-25,YDR378C
CPX-25,YOR308C
CPX-25,YGR074W
CPX-25,YGR075C
CPX-25,YBR152W
CPX-25,YKL173W
CPX-25,YBR055C
CPX-26,YML049C
CPX-26,YPL213W
CPX-26,YGL174W
CPX-26,YOR319W
CPX-26,YOR159C
CPX-26,YMR288W
CPX-26,YNL286W
CPX-26,YPR182W
CPX-26,YIR009W
CPX-26,YLR016C
CPX-26,YJL203W
CPX-26,YLR275W
CPX-26,YPR094W
CPX-26,YER029C
CPX-26,YIR005W
CPX-26,YLR147C
CPX-26,YDL043C
CPX-26,YFL017W-A
CPX-26,YNL138W-A
CPX-26,YMR240C
CPX-26,YGR074W
CPX-26,YDL030W
CPX-29,YHR165C
CPX-29,YLR147C
CPX-29,YOR159C
CPX-29,YER172C
CPX-29,YLR275W
CPX-29,YGR074W
CPX-29,YHR156C
CPX-29,YFL017W-A
CPX-29,YPR182W
CPX-29,YER029C
CPX-29,YKL173W
CPX-29,YDR243C
CPX-29,YBR055C
CPX-29,YPR082C
CPX-30,YHR165C
CPX-30,YLR147C
CPX-30,YOR159C
CPX-30,YLR275W
CPX-30,YBL074C
CPX-30,YGR074W
CPX-30,YFL017W-A
CPX-30,YPR182W
CPX-30,YER029C
CPX-30,YKL173W
CPX-31,YLR147C
CPX-31,YOR159C
CPX-31,YPR178W
CPX-31,YLR275W
CPX-31,YDR473C
CPX-31,YGR074W
CPX-31,YFL017W-A
CPX-31,YPR182W
CPX-31,YER029C
CPX-31,YEL026W
CPX-32,YBL026W
CPX-32,YER112W
CPX-32,YLR147C
CPX-32,YNL147W
CPX-32,YLR438C-A
CPX-32,YPR178W
CPX-32,YLR275W
