community_id,protein_id
0,YDR174W
0,YIL036W
0,YIL150C
0,YNL094W
0,YOR172W
1,YGL106W
1,YKR010C
1,YML034W
1,YOR035C
2,YGL207W
2,YHR035W
2,YMR041C
2,YOR101W
3,YHR059W
3,YIL070C
3,YKL151C
3,YOL143C
4,YDR224C
4,YGL241W
4,YLR133W
4,YOL012C
5,YGR086C
5,YGR267C
5,YOL045W
5,YPR115W
6,YDR545W
6,YMR229C
6,YNL299W
6,YOR140W
7,YMR043W
7,YNL042W
8,YDR363W-A
8,YGL094C
8,YKL025C
8,YNL087W
9,YER161C
9,YGR202C
9,YML060W
9,YNL189W
9,YOR098C
10,YGL251C
10,YIL034C
10,YLR249W
10,YOR086C
11,YER050C
11,YIL093C
11,YMR158W
11,YNL081C
11,YPL013C
12,YDL190C
12,YDR081C
12,YEL037C
12,YPL096W
13,YGR071C
13,YML069W
13,YML107C
13,YOL108C
14,YGL116W
14,YJL110C
14,YPL004C
14,YPL155C
15,YAL042W
15,YBL054W
15,YBR080C
15,YCR014C
15,YDL007W
15,YDL036C
15,YDL097C
15,YDL147W
15,YDR363W-A
15,YDR394W
15,YDR427W
15,YER021W
15,YFR004W
15,YFR010W
15,YFR052W
15,YGL048C
15,YGL095C
15,YGR232W
15,YHR027C
15,YHR200W
15,YIL075C
15,YIR012W
15,YKL145W
15,YLR421C
15,YMR191W
15,YOR117W
15,YOR209C
15,YOR259C
15,YOR261C
15,YPR040W
15,YPR108W
16,YIL159W
16,YJL010C
16,YJL162C
16,YLR197W
17,YDR113C
17,YLR175W
17,YMR290C
17,YNL227C
17,YPL009C
18,YDR099W
18,YDR348C
18,YLR176C
18,YNR014W
19,YFL023W
19,YJL005W
19,YLR200W
19,YNL138W
20,YBR154C
20,YDL042C
20,YDL150W
20,YDR005C
20,YDR045C
20,YJL011C
20,YJR063W
20,YKL144C
20,YKR025W
20,YNL113W
20,YNL151C
20,YNR003C
20,YOL021C
20,YOR116C
20,YOR207C
20,YOR210W
20,YPR010C
20,YPR110C
20,YPR187W
20,YPR190C
21,YAR002W
21,YER091C
21,YLR335W
21,YLR347C
21,YML060W
21,YNL189W
21,YPL020C
22,YDL002C
22,YDR190C
22,YEL044W
22,YER092W
22,YFL013C
22,YGL150C
22,YJL081C
22,YLR052W
22,YNL059C
22,YNL215W
22,YOR141C
22,YOR189W
22,YPL235W
23,YAL043C
23,YDR195W
23,YDR301W
23,YGR156W
23,YJR093C
23,YKL018W
23,YKL059C
23,YKR002W
23,YLR115W
23,YLR277C
23,YNL222W
23,YNL317W
23,YOR179C
23,YPR107C
24,YBR281C
24,YIL173W
24,YNL031C
24,YNL079C
25,YBL093C
25,YBR193C
25,YBR253W
25,YCR081W
25,YDL005C
25,YDR308C
25,YDR443C
25,YER022W
25,YGL025C
25,YGL127C
25,YGL151W
25,YGR104C
25,YHR041C
25,YHR058C
25,YLR071C
25,YMR112C
25,YNL236W
25,YNR010W
25,YOL051W
25,YOL135C
25,YOR174W
25,YPL042C
25,YPR070W
25,YPR168W
26,YDL103C
26,YDR480W
26,YGL245W
26,YHR111W
27,YBR185C
27,YCL032W
27,YDL020C
27,YDL069C
27,YPR175W
28,YBR154C
28,YDL150W
28,YDR026C
28,YDR156W
28,YFR028C
28,YHR143W-A
28,YIR024C
28,YJL148W
28,YJR063W
28,YNL113W
28,YNL248C
28,YNR003C
28,YOR116C
28,YOR207C
28,YOR210W
28,YOR340C
28,YOR341W
28,YPR010C
28,YPR110C
28,YPR187W
28,YPR190C
29,YDR153C
29,YGL173C
29,YGL213C
29,YGR054W
29,YKL015W
29,YKL023W
29,YLR398C
29,YPR189W
30,YBR081C
30,YBR198C
30,YCL010C
30,YDR145W
30,YDR167W
30,YDR176W
30,YDR392W
30,YDR448W
30,YGL066W
30,YGL112C
30,YGR252W
30,YGR274C
30,YLR055C
30,YML015C
30,YML098W
30,YMR005W
30,YMR223W
30,YMR227C
30,YMR236W
30,YOL148C
30,YPL011C
30,YPL047W
30,YPL254W
31,YAL008W
31,YDR153C
31,YDR299W
31,YJL033W
31,YNL132W
32,YDL051W
32,YOR078W
32,YOR287C
32,YOR310C
32,YPR137W
32,YPR178W
33,YBL059W
33,YBL082C
33,YCR079W
33,YGL070C
34,YDR385W
34,YGR187C
34,YJL046W
34,YMR315W
35,YDR143C
35,YGL116W
35,YIL021W
35,YOL005C
35,YPR133C
36,YBR251W
36,YDR175C
36,YJR096W
36,YNL022C
36,YNL242W
37,YCR009C
37,YHR042W
37,YOL098C
37,YPL249C
38,YCL031C
38,YGR090W
38,YGR251W
38,YKL078W
38,YNL176C
38,YNL186W
39,YIL127C
39,YJR105W
39,YKL004W
40,YBR154C
40,YBR259W
40,YDL115C
40,YDL140C
40,YDR404C
40,YGL043W
40,YGL070C
40,YGR005C
40,YGR063C
40,YGR140W
40,YGR186W
40,YIL021W
40,YJL140W
40,YJR017C
40,YML010W
40,YOL005C
40,YOR151C
40,YOR210W
40,YOR224C
40,YPL129W
40,YPL225W
40,YPR133C
40,YPR187W
41,YBL074C
41,YBR119W
41,YDL087C
41,YDR240C
41,YER029C
41,YFL017W-A
41,YGR013W
41,YGR074W
41,YHR165C
41,YIL061C
41,YKL012W
41,YLR147C
41,YLR275W
41,YLR298C
41,YML046W
41,YNL092W
41,YOR159C
41,YPL213W
41,YPR057W
41,YPR182W
42,YDL203C
42,YER012W
42,YJL132W
42,YLR290C
43,YBR176W
43,YDL236W
43,YOL072W
43,YPR080W
44,YDR087C
44,YGR068C
44,YLR032W
44,YPL170W
45,YDR365C
45,YHR065C
45,YIL142W
45,YMR280C
45,YNR054C
46,YOL076W
46,YPR131C
47,YCR020W-B
47,YCR052W
47,YDL179W
47,YDR303C
47,YDR520C
47,YFR037C
47,YGR056W
47,YGR275W
47,YIL126W
47,YKR008W
47,YLR033W
47,YLR321C
47,YLR357W
47,YML127W
47,YMR033W
47,YMR091C
47,YPR034W
48,YAL027W
48,YLL018C
48,YML095C
48,YPL022W
48,YPL183C
49,YJL050W
49,YMR137C
49,YOL120C
49,YOR212W
50,YLL062C
50,YOR064C
51,YER164W
51,YGL019W
51,YKL088W
51,YKR072C
51,YLR407W
51,YMR172W
51,YOR039W
51,YOR061W
52,YGR103W
52,YJL192C
52,YMR023C
52,YMR076C
53,YAL032C
53,YCR063W
53,YDL043C
53,YGL174W
53,YPL151C
54,YDL060W
54,YEL054C
54,YIL095W
54,YOR198C
55,YBL086C
55,YDL182W
55,YDR500C
55,YER122C
56,YGR032W
56,YIL043C
56,YML072C
56,YPL249C-A
57,YBR039W
57,YEL056W
57,YMR230W
57,YOR386W
58,YBL052C
58,YDR359C
58,YEL018W
58,YFL024C
58,YGR002C
58,YHR090C
58,YHR099W
58,YJL081C
58,YJR082C
58,YNL107W
58,YNL136W
58,YOR244W
58,YPR023C
58,YPR031W
59,YDL105W
59,YDR288W
59,YEL019C
59,YOL034W
59,YOR352W
60,YDR139C
60,YHL032C
60,YLR305C
60,YNL281W
61,YBR127C
61,YJR069C
61,YML121W
61,YNL239W
62,YDR011W
62,YDR179W-A
62,YGL201C
62,YOR157C
63,YGL120C
63,YGL128C
63,YKR022C
63,YLR424W
63,YNL224C
64,YDL030W
64,YDL043C
64,YDR482C
64,YGL174W
64,YJL203W
64,YML049C
64,YMR240C
64,YMR288W
64,YOR319W
65,YBR079C
65,YCR060W
65,YHR034C
65,YLR192C
65,YMR309C
65,YOR052C
66,YCR035C
66,YDL111C
66,YDR280W
66,YGR095C
66,YGR158C
66,YGR195W
66,YHR069C
66,YHR081W
66,YNL232W
66,YNR024W
66,YOL021C
66,YOL142W
66,YOR001W
66,YOR076C
67,YBR055C
67,YBR119W
67,YDR473C
67,YER029C
67,YER172C
67,YFL017W-A
67,YGR074W
67,YGR091W
67,YHR165C
67,YJR022W
67,YKL012W
67,YKL173W
67,YLR147C
67,YLR275W
67,YNR011C
67,YOR159C
67,YOR308C
67,YPL213W
67,YPR057W
67,YPR182W
68,YDL235C
68,YKL114C
68,YPL127C
69,YIR021W
69,YOL052C
70,YBR155W
70,YGL050W
70,YJL197W
70,YJR031C
71,YBL041W
71,YBR173C
71,YCR076C
71,YEL061C
71,YER012W
71,YER094C
71,YFR050C
71,YGL011C
71,YGL096W
71,YGR135W
71,YGR253C
71,YJL001W
71,YKL206C
71,YKR070W
71,YML092C
71,YMR314W
71,YOL038W
71,YOR157C
71,YOR362C
71,YPR103W
72,YBR146W
72,YBR251W
72,YDR124W
72,YDR175C
72,YDR337W
72,YDR347W
72,YER050C
72,YGL129C
72,YGR165W
72,YHL004W
72,YIL070C
72,YIL093C
72,YJR060W
72,YJR101W
72,YJR113C
72,YKL155C
72,YNL137C
72,YNR036C
72,YOR158W
72,YPL118W
73,YCL036W
73,YDL176W
73,YJR104C
73,YMR093W
74,YGL252C
74,YNL076W
74,YNL208W
75,YGR250C
75,YGR281W
75,YML002W
75,YML051W
76,YBL071W-A
76,YER001W
76,YIL103W
76,YKL048C
76,YKL191W
76,YLR043C
77,YGR062C
77,YGR237C
77,YHR216W
77,YLR432W
77,YML056C
77,YOR360C
78,YDR101C
78,YER107C
78,YGR081C
78,YJL122W
78,YMR308C
79,YBL067C
79,YCR090C
79,YML105C
79,YOL087C
80,YDL130W
80,YDR251W
80,YJL052W
80,YKR042W
81,YCL059C
81,YCR016W
81,YDL208W
81,YGL078C
81,YGR283C
81,YHR072W-A
81,YHR089C
81,YLR175W
81,YMR310C
81,YNL308C
82,YDR415C
82,YER151C
82,YHR039C
82,YNR051C
83,YCL043C
83,YDR044W
83,YGR087C
83,YHR204W
84,YDL156W
84,YGL253W
84,YNL030W
84,YNL206C
85,YDR272W
85,YEL040W
86,YAL053W
86,YKL028W
86,YKL096W-A
86,YLR167W
87,YGR130C
87,YGR177C
88,YGR123C
88,YLL001W
88,YOR014W
89,YAR010C
89,YBR264C
89,YGL035C
89,YPR164W
90,YAL001C
90,YBR123C
90,YDR362C
90,YGR047C
90,YOR110W
90,YPL007C
91,YAL023C
91,YCR043C
91,YEL036C
92,YAL021C
92,YDR221W
92,YDR252W
92,YGR134W
92,YHR193C
92,YJR011C
93,YBR049C
93,YCR047C
93,YDR490C
93,YPL005W
94,YAR007C
94,YDR300C
94,YFL014W
94,YHR164C
94,YJL173C
94,YNL312W
95,YBR087W
95,YJR068W
95,YNL290W
95,YOL094C
95,YOR144C
95,YOR217W
96,YBR073W
96,YJR131W
96,YKR056W
96,YKR072C
97,YDR227W
97,YGL121C
97,YHR137W
97,YLR278C
97,YLR442C
98,YDL066W
98,YDR538W
98,YLR436C
98,YMR304W
99,YBR275C
99,YER162C
99,YKL005C
99,YKL159C
100,YDL065C
100,YER148W
100,YGR246C
100,YHR036W
101,YBL004W
101,YCR077C
101,YDL160C
101,YEL015W
101,YER112W
101,YJL124C
101,YLR438C-A
101,YNL118C
101,YNL147W
102,YCR089W
102,YGR084C
102,YHR061C
102,YIL067C
103,YDL031W
103,YDL040C
103,YDR303C
103,YHR013C
103,YHR154W
103,YOR253W
104,YDL153C
104,YIL091C
104,YJR002W
104,YJR119C
104,YKL035W
105,YHR082C
105,YKL056C
105,YLR022C
105,YNL163C
106,YDR111C
106,YDR180W
106,YER147C
106,YFL016C
107,YDR470C
107,YML131W
107,YOL154W
107,YOR092W
108,YAR003W
108,YBR175W
108,YBR258C
108,YDR469W
108,YHR029C
108,YHR119W
108,YLL023C
108,YLR015W
108,YLR246W
108,YPL138C
109,YDR354W
109,YER065C
109,YLR270W
109,YOR173W
109,YPL245W
110,YDR369C
110,YIR006C
110,YNL084C
111,YGL049C
111,YGR162W
111,YKL204W
111,YML017W
111,YOL139C
111,YOR276W
112,YBR234C
112,YDL029W
112,YIL062C
112,YJR065C
112,YKL013C
112,YLR370C
112,YMR028W
113,YKL029C
113,YKR027W
113,YLR330W
113,YMR237W
113,YNL045W
114,YBR245C
114,YLR095C
114,YLR336C
114,YMR044W
114,YPL055C
115,YBR072W
115,YDR213W
115,YML111W
115,YNL313C
116,YBL026W
116,YCR077C
116,YDR378C
116,YER112W
116,YER146W
116,YGL173C
116,YJL124C
116,YJR022W
116,YLR438C-A
116,YMR268C
116,YNL147W
117,YGR255C
117,YJL123C
117,YNL330C
