dataset,candidate_id,source,protein_id,candidate_score,core_protein,rank_within_candidate
krogan,0,mcl,YPL007C,0.0,,0
krogan,0,mcl,YOR110W,0.0,,0
krogan,0,mcl,YAL001C,0.0,,0
krogan,0,mcl,YDR362C,0.0,,0
krogan,0,mcl,YGR047C,0.0,,0
krogan,0,mcl,YBR123C,0.0,,0
krogan,1,mcl,YHR127W,0.0,,0
krogan,1,mcl,YDR381W,0.0,,0
krogan,1,mcl,YPL227C,0.0,,0
krogan,1,mcl,YDL053C,0.0,,0
krogan,1,mcl,YPL085W,0.0,,0
krogan,1,mcl,YBL024W,0.0,,0
krogan,1,mcl,YOR294W,0.0,,0
krogan,1,mcl,YKR081C,0.0,,0
krogan,1,mcl,YGL067W,0.0,,0
krogan,1,mcl,YDL168W,0.0,,0
krogan,1,mcl,YOR206W,0.0,,0
krogan,1,mcl,YOR213C,0.0,,0
krogan,1,mcl,YGL008C,0.0,,0
krogan,1,mcl,YNL061W,0.0,,0
krogan,1,mcl,YKL139W,0.0,,0
krogan,1,mcl,YML112W,0.0,,0
krogan,1,mcl,YDR207C,0.0,,0
krogan,1,mcl,YJR084W,0.0,,0
krogan,1,mcl,YOL033W,0.0,,0
krogan,1,mcl,YGL166W,0.0,,0
krogan,1,mcl,YER131W,0.0,,0
krogan,1,mcl,YCR087C-A,0.0,,0
krogan,1,mcl,YJL006C,0.0,,0
krogan,1,mcl,YHR039C,0.0,,0
krogan,1,mcl,YNR051C,0.0,,0
krogan,1,mcl,YDL013W,0.0,,0
krogan,2,mcl,YAL007C,0.0,,0
krogan,2,mcl,YGR231C,0.0,,0
krogan,2,mcl,YAR002C-A,0.0,,0
krogan,2,mcl,YDR086C,0.0,,0
krogan,2,mcl,YGL200C,0.0,,0
krogan,2,mcl,YJL034W,0.0,,0
krogan,2,mcl,YMR214W,0.0,,0
krogan,3,mcl,YBL003C,0.0,,0
krogan,3,mcl,YDR225W,0.0,,0
krogan,3,mcl,YER116C,0.0,,0
krogan,3,mcl,YLR133W,0.0,,0
krogan,3,mcl,YNL031C,0.0,,0
krogan,3,mcl,YNL088W,0.0,,0
krogan,3,mcl,YDR224C,0.0,,0
krogan,3,mcl,YNL206C,0.0,,0
krogan,3,mcl,YEL012W,0.0,,0
krogan,3,mcl,YLR410W,0.0,,0
krogan,3,mcl,YML103C,0.0,,0
krogan,3,mcl,YBR009C,0.0,,0
krogan,3,mcl,YBL002W,0.0,,0
krogan,3,mcl,YDR052C,0.0,,0
krogan,3,mcl,YMR072W,0.0,,0
krogan,3,mcl,YGL035C,0.0,,0
krogan,3,mcl,YNL030W,0.0,,0
krogan,3,mcl,YPL032C,0.0,,0
krogan,4,mcl,YOR172W,0.0,,0
krogan,4,mcl,YNL055C,0.0,,0
krogan,4,mcl,YDR174W,0.0,,0
krogan,4,mcl,YIL150C,0.0,,0
krogan,5,mcl,YML072C,0.0,,0
krogan,5,mcl,YOR086C,0.0,,0
krogan,5,mcl,YDL081C,0.0,,0
krogan,5,mcl,YER145C,0.0,,0
krogan,5,mcl,YPL249C-A,0.0,,0
krogan,5,mcl,YDR033W,0.0,,0
krogan,5,mcl,YLR342W,0.0,,0
krogan,5,mcl,YGR032W,0.0,,0
krogan,5,mcl,YDL015C,0.0,,0
krogan,5,mcl,YJR010C-A,0.0,,0
krogan,5,mcl,YNR021W,0.0,,0
krogan,5,mcl,YLR066W,0.0,,0
krogan,5,mcl,YBR291C,0.0,,0
krogan,5,mcl,YIL043C,0.0,,0
krogan,5,mcl,YGL055W,0.0,,0
krogan,5,mcl,YOR193W,0.0,,0
krogan,5,mcl,YML012W,0.0,,0
krogan,5,mcl,YFR022W,0.0,,0
krogan,5,mcl,YML055W,0.0,,0
krogan,6,mcl,YIL146C,0.0,,0
krogan,6,mcl,YGL167C,0.0,,0
krogan,6,mcl,YLR075W,0.0,,0
krogan,6,mcl,YBL030C,0.0,,0
krogan,6,mcl,YBR085W,0.0,,0
krogan,6,mcl,YDR342C,0.0,,0
krogan,7,mcl,YPL150W,0.0,,0
krogan,7,mcl,YBL032W,0.0,,0
krogan,7,mcl,YOR058C,0.0,,0
krogan,7,mcl,YLR150W,0.0,,0
krogan,7,mcl,YOR359W,0.0,,0
krogan,7,mcl,YPL146C,0.0,,0
krogan,7,mcl,YLR363W-A,0.0,,0
krogan,8,mcl,YDL002C,0.0,,0
krogan,8,mcl,YLR385C,0.0,,0
krogan,8,mcl,YEL044W,0.0,,0
krogan,8,mcl,YGR002C,0.0,,0
krogan,8,mcl,YGL150C,0.0,,0
krogan,8,mcl,YOR189W,0.0,,0
krogan,8,mcl,YDR485C,0.0,,0
krogan,8,mcl,YER092W,0.0,,0
krogan,8,mcl,YJL081C,0.0,,0
krogan,8,mcl,YBR231C,0.0,,0
krogan,8,mcl,YML041C,0.0,,0
krogan,8,mcl,YDR334W,0.0,,0
krogan,8,mcl,YFL013C,0.0,,0
krogan,8,mcl,YDR190C,0.0,,0
krogan,8,mcl,YOR141C,0.0,,0
krogan,8,mcl,YNL107W,0.0,,0
krogan,8,mcl,YAL011W,0.0,,0
krogan,8,mcl,YLR052W,0.0,,0
krogan,8,mcl,YPL235W,0.0,,0
krogan,8,mcl,YNL215W,0.0,,0
krogan,8,mcl,YNL059C,0.0,,0
krogan,9,mcl,YPL152W,0.0,,0
krogan,9,mcl,YMR273C,0.0,,0
krogan,9,mcl,YDL188C,0.0,,0
krogan,9,mcl,YML109W,0.0,,0
krogan,9,mcl,YOR162C,0.0,,0
krogan,9,mcl,YGR161C,0.0,,0
krogan,9,mcl,YGL190C,0.0,,0
krogan,9,mcl,YAL016W,0.0,,0
krogan,10,mcl,YGL251C,0.0,,0
krogan,10,mcl,YLR144C,0.0,,0
krogan,10,mcl,YER032W,0.0,,0
krogan,10,mcl,YOR386W,0.0,,0
krogan,10,mcl,YKL203C,0.0,,0
krogan,10,mcl,YDL134C,0.0,,0
krogan,11,mcl,YLR109W,0.0,,0
krogan,11,mcl,YOL059W,0.0,,0
krogan,11,mcl,YNL209W,0.0,,0
krogan,12,mcl,YLL001W,0.0,,0
krogan,12,mcl,YOR014W,0.0,,0
krogan,12,mcl,YGR123C,0.0,,0
krogan,13,mcl,YAL017W,0.0,,0
krogan,13,mcl,YDR451C,0.0,,0
krogan,13,mcl,YBR069C,0.0,,0
krogan,13,mcl,YER083C,0.0,,0
krogan,13,mcl,YDL100C,0.0,,0
krogan,13,mcl,YGL020C,0.0,,0
krogan,14,mcl,YKL010C,0.0,,0
krogan,14,mcl,YAL026C,0.0,,0
krogan,15,mcl,YMR172W,0.0,,0
krogan,15,mcl,YOR054C,0.0,,0
krogan,15,mcl,YIL035C,0.0,,0
krogan,15,mcl,YNL149C,0.0,,0
krogan,15,mcl,YDR043C,0.0,,0
krogan,15,mcl,YOR061W,0.0,,0
krogan,15,mcl,YOR039W,0.0,,0
krogan,15,mcl,YLR387C,0.0,,0
krogan,15,mcl,YGL019W,0.0,,0
krogan,15,mcl,YKL088W,0.0,,0
krogan,15,mcl,YMR154C,0.0,,0
krogan,15,mcl,YER164W,0.0,,0
krogan,16,mcl,YNL288W,0.0,,0
krogan,16,mcl,YPL268W,0.0,,0
krogan,16,mcl,YAL021C,0.0,,0
krogan,16,mcl,YGR134W,0.0,,0
krogan,16,mcl,YDR252W,0.0,,0
krogan,16,mcl,YJR011C,0.0,,0
krogan,16,mcl,YCR093W,0.0,,0
krogan,17,mcl,YNL106C,0.0,,0
krogan,17,mcl,YDR314C,0.0,,0
krogan,17,mcl,YIL062C,0.0,,0
krogan,17,mcl,YIL105C,0.0,,0
krogan,17,mcl,YER048C,0.0,,0
krogan,17,mcl,YOR145C,0.0,,0
krogan,17,mcl,YDR212W,0.0,,0
krogan,17,mcl,YLR429W,0.0,,0
krogan,17,mcl,YPR093C,0.0,,0
krogan,17,mcl,YLR203C,0.0,,0
krogan,17,mcl,YGR198W,0.0,,0
krogan,17,mcl,YPL218W,0.0,,0
krogan,17,mcl,YNL073W,0.0,,0
krogan,17,mcl,YDR129C,0.0,,0
krogan,17,mcl,YNR052C,0.0,,0
krogan,17,mcl,YDR032C,0.0,,0
krogan,17,mcl,YDL017W,0.0,,0
krogan,18,mcl,YAL024C,0.0,,0
krogan,18,mcl,YPR140W,0.0,,0
krogan,19,mcl,YFL014W,0.0,,0
krogan,19,mcl,YDR300C,0.0,,0
krogan,19,mcl,YNL312W,0.0,,0
krogan,19,mcl,YJL173C,0.0,,0
krogan,19,mcl,YDR499W,0.0,,0
krogan,19,mcl,YHR164C,0.0,,0
krogan,19,mcl,YAR007C,0.0,,0
krogan,19,mcl,YJR096W,0.0,,0
krogan,20,mcl,YML069W,0.0,,0
krogan,20,mcl,YML107C,0.0,,0
krogan,21,mcl,YLL018C,0.0,,0
krogan,21,mcl,YAL027W,0.0,,0
krogan,21,mcl,YML095C,0.0,,0
krogan,21,mcl,YPL022W,0.0,,0
krogan,22,mcl,YJL102W,0.0,,0
krogan,22,mcl,YGL175C,0.0,,0
krogan,22,mcl,YPL249C,0.0,,0
krogan,22,mcl,YHR042W,0.0,,0
krogan,22,mcl,YDR243C,0.0,,0
krogan,22,mcl,YOL098C,0.0,,0
krogan,22,mcl,YCR009C,0.0,,0
krogan,22,mcl,YBR108W,0.0,,0
krogan,22,mcl,YML011C,0.0,,0
krogan,22,mcl,YDR388W,0.0,,0
krogan,22,mcl,YIL039W,0.0,,0
krogan,22,mcl,YMR192W,0.0,,0
krogan,22,mcl,YDL125C,0.0,,0
krogan,22,mcl,YLR096W,0.0,,0
krogan,22,mcl,YBR097W,0.0,,0
krogan,22,mcl,YIL015W,0.0,,0
krogan,23,mcl,YBL019W,0.0,,0
krogan,23,mcl,YCR028C-A,0.0,,0
krogan,24,mcl,YDL014W,0.0,,0
krogan,24,mcl,YLR196W,0.0,,0
krogan,24,mcl,YOL144W,0.0,,0
krogan,24,mcl,YDR496C,0.0,,0
krogan,24,mcl,YGR271C-A,0.0,,0
krogan,24,mcl,YNL255C,0.0,,0
krogan,24,mcl,YMR290C,0.0,,0
krogan,24,mcl,YLR221C,0.0,,0
krogan,24,mcl,YNR038W,0.0,,0
krogan,24,mcl,YDR060W,0.0,,0
krogan,24,mcl,YOR381W,0.0,,0
krogan,24,mcl,YMR014W,0.0,,0
krogan,24,mcl,YHL034C,0.0,,0
krogan,24,mcl,YLR369W,0.0,,0
krogan,25,mcl,YLR319C,0.0,,0
krogan,25,mcl,YNL023C,0.0,,0
krogan,25,mcl,YPL040C,0.0,,0
krogan,25,mcl,YLR304C,0.0,,0
krogan,25,mcl,YLR288C,0.0,,0
krogan,25,mcl,YGR188C,0.0,,0
krogan,25,mcl,YOR035C,0.0,,0
krogan,25,mcl,YKL124W,0.0,,0
krogan,25,mcl,YGL106W,0.0,,0
krogan,25,mcl,YBR001C,0.0,,0
krogan,25,mcl,YOR304C-A,0.0,,0
krogan,25,mcl,YGR003W,0.0,,0
krogan,25,mcl,YMR071C,0.0,,0
krogan,25,mcl,YML034W,0.0,,0
krogan,25,mcl,YOR326W,0.0,,0
krogan,25,mcl,YKR010C,0.0,,0
krogan,25,mcl,YAL029C,0.0,,0
krogan,26,mcl,YIL154C,0.0,,0
krogan,26,mcl,YPL127C,0.0,,0
krogan,26,mcl,YCL054W,0.0,,0
krogan,26,mcl,YGR237C,0.0,,0
krogan,26,mcl,YDR117C,0.0,,0
krogan,26,mcl,YDL060W,0.0,,0
krogan,26,mcl,YPR161C,0.0,,0
krogan,26,mcl,YIL095W,0.0,,0
krogan,26,mcl,YOL041C,0.0,,0
krogan,26,mcl,YCR008W,0.0,,0
krogan,26,mcl,YLR455W,0.0,,0
krogan,26,mcl,YOL077C,0.0,,0
krogan,26,mcl,YLR226W,0.0,,0
krogan,26,mcl,YDL156W,0.0,,0
krogan,26,mcl,YOR198C,0.0,,0
krogan,27,mcl,YMR086W,0.0,,0
krogan,27,mcl,YKR086W,0.0,,0
krogan,27,mcl,YDL070W,0.0,,0
krogan,27,mcl,YGR086C,0.0,,0
krogan,27,mcl,YPR115W,0.0,,0
krogan,27,mcl,YJL110C,0.0,,0
krogan,27,mcl,YOL045W,0.0,,0
krogan,27,mcl,YPL004C,0.0,,0
krogan,27,mcl,YGR267C,0.0,,0
krogan,27,mcl,YNL067W,0.0,,0
krogan,28,mcl,YHR076W,0.0,,0
krogan,28,mcl,YMR079W,0.0,,0
krogan,28,mcl,YPR171W,0.0,,0
krogan,28,mcl,YKL091C,0.0,,0
krogan,29,mcl,YNL282W,0.0,,0
krogan,29,mcl,YBR167C,0.0,,0
krogan,29,mcl,YHR062C,0.0,,0
krogan,29,mcl,YDR478W,0.0,,0
krogan,29,mcl,YAL033W,0.0,,0
krogan,29,mcl,YLR145W,0.0,,0
krogan,29,mcl,YBR257W,0.0,,0
krogan,29,mcl,YNL221C,0.0,,0
krogan,29,mcl,YIR015W,0.0,,0
krogan,29,mcl,YGR030C,0.0,,0
krogan,30,mcl,YAL034C,0.0,,0
krogan,30,mcl,YER110C,0.0,,0
krogan,31,mcl,YIR010W,0.0,,0
krogan,31,mcl,YJR112W,0.0,,0
krogan,31,mcl,YAL034W-A,0.0,,0
krogan,31,mcl,YPL233W,0.0,,0
krogan,32,mcl,YAL043C,0.0,,0
krogan,32,mcl,YAL046C,0.0,,0
krogan,32,mcl,YBL101C,0.0,,0
krogan,33,mcl,YFL022C,0.0,,0
krogan,33,mcl,YLR060W,0.0,,0
krogan,33,mcl,YBL076C,0.0,,0
krogan,34,mcl,YHR086W,0.0,,0
krogan,34,mcl,YNL092W,0.0,,0
krogan,34,mcl,YBR119W,0.0,,0
krogan,34,mcl,YGR074W,0.0,,0
