protein_id,index
YKL144C,0
YPR110C,1
YOR210W,2
YPR190C,3
YOR224C,4
YDR045C,5
YNL151C,6
YNL113W,7
YKR025W,8
YOR116C,9
YPR187W,10
YBR154C,11
YDR005C,12
YJL011C,13
YNR003C,14
YDL150W,15
YOR207C,16
YBR245C,17
YBR049C,18
YPR010C,19
YGL156W,20
YPR032W,21
YJR063W,22
YOR340C,23
YNL248C,24
YOR341W,25
YML016C,26
YPR184W,27
YKL193C,28
YKL088W,29
YJL039C,30
YJR077C,31
YBL075C,32
YBR072W,33
YDR240C,34
YGR013W,35
YLR275W,36
YER029C,37
YGR074W,38
YMR125W,39
YDL087C,40
YPL178W,41
YHR165C,42
YPR182W,43
YBR119W,44
YML046W,45
YHR086W,46
YDR235W,47
YLR147C,48
YLR298C,49
YKL012W,50
YLR345W,51
YIL061C,52
YIL129C,53
YER172C,54
YDL083C,55
YOR234C,56
YBR086C,57
YBR181C,58
YGL120C,59
YNL224C,60
YMR230W,61
YGR034W,62
YLR221C,63
YGR281W,64
YBR142W,65
YML026C,66
YMR143W,67
YPR043W,68
YDL195W,69
YDL075W,70
YOR173W,71
YDR382W,72
YDR460W,73
YPR025C,74
YBR189W,75
YOL139C,76
YDL060W,77
YHR196W,78
YOR310C,79
YNL132W,80
YGR214W,81
YGR081C,82
YBR247C,83
YOR056C,84
YPR189W,85
YPL204W,86
YML056C,87
YDL051W,88
YGL173C,89
YLR367W,90
YGR162W,91
YHL034C,92
YOR276W,93
YCL011C,94
YGL049C,95
YER102W,96
YNL262W,97
YKL204W,98
YML009C,99
YNL284C,100
YBL038W,101
YBR282W,102
YDR116C,103
YKR006C,104
YKL167C,105
YMR098C,106
YKR085C,107
YNL252C,108
YLR189C,109
YCR046C,110
YLR312W,111
YNL005C,112
YJL063C,113
YCL014W,114
YDR462W,115
YCR071C,116
YMR225C,117
YOR201C,118
YFR051C,119
YDR237W,120
YDR322W,121
YLR371W,122
YGR220C,123
YMR193W,124
YDR296W,125
YLR439W,126
YOR150W,127
YHR147C,128
YPL183W,129
YCR030C,130
YBR122C,131
YDR405W,132
YDR164C,133
YJL005W,134
YPR100W,135
YBL004W,136
YLR264W,137
YMR024W,138
YBL024W,139
YHR088W,140
YMR290C,141
YOR272W,142
YLL045C,143
YHR052W,144
YOL077C,145
YER006W,146
YOR206W,147
YFL002C,148
YFR001W,149
YDR496C,150
YNL061W,151
YGL111W,152
YPR016C,153
YNL110C,154
YPL131W,155
YOL041C,156
YER126C,157
YKR081C,158
YPL043W,159
YGR103W,160
YMR229C,161
YMR049C,162
YPL211W,163
YDR060W,164
YPL093W,165
YPL249C,166
YML073C,167
YNL002C,168
YOL127W,169
YKL014C,170
YER107C,171
YMR047C,172
YJL041W,173
YJL061W,174
YIL115C,175
YFR037C,176
YHR056C,177
YDR174W,178
YLR321C,179
YML127W,180
YPR034W,181
YMR072W,182
YMR091C,183
YMR033W,184
YDR303C,185
YKR008W,186
YGR056W,187
YFR013W,188
YNL030W,189
YLR357W,190
YCR052W,191
YIL126W,192
YLR033W,193
YOL090W,194
YGR275W,195
YKR001C,196
YBL003C,197
YDR224C,198
YBR009C,199
YGL133W,200
YPL082C,201
YDR190C,202
YOL004W,203
YBL007C,204
YHR114W,205
YLR337C,206
YOR181W,207
YJL201W,208
YFR024C,209
YML001W,210
YDL191W,211
YBL027W,212
YLR150W,213
YNL207W,214
YDR064W,215
YBR048W,216
YOR145C,217
YPL012W,218
YDL148C,219
YJR145C,220
YJL190C,221
YPL266W,222
YOR096W,223
YKL143W,224
YDR447C,225
YGR054W,226
YIL069C,227
YML024W,228
YDR283C,229
YKR057W,230
YDR025W,231
YOR290C,232
YML091C,233
YPL081W,234
YDR264C,235
YMR197C,236
YKL196C,237
YOR036W,238
YOR212W,239
YBL050W,240
YGL095C,241
YHR117W,242
YOR375C,243
YKL006W,244
YGL130W,245
YOR370C,246
YKR014C,247
YPL228W,248
YER094C,249
YGL011C,250
YGR135W,251
YOR362C,252
YPR103W,253
YGR232W,254
YML092C,255
YOL038W,256
YFR050C,257
YMR314W,258
YBL041W,259
YER012W,260
YJL001W,261
YHR200W,262
YIL075C,263
YDL147W,264
YDL097C,265
YOR259C,266
YHR027C,267
YOR261C,268
YDR427W,269
YER021W,270
YHL030W,271
YLR421C,272
YFR004W,273
YFR052W,274
YPR108W,275
YFR010W,276
YKL145W,277
YDL007W,278
YGL048C,279
YDR394W,280
YOR117W,281
YML124C,282
YLR002C,283
YLR449W,284
YLL034C,285
YKL009W,286
YDR087C,287
YLL008W,288
YDL082W,289
YDL031W,290
YKL021C,291
YGR095C,292
YGR195W,293
YGR090W,294
YGR158C,295
YCR035C,296
YHR069C,297
YNL189W,298
YOL021C,299
YOR076C,300
YHR081W,301
YNL232W,302
YDL111C,303
YDR280W,304
YOR001W,305
YOL142W,306
YMR128W,307
YJL109C,308
YKL126W,309
YDL003W,310
YJL074C,311
YFL008W,312
YER147C,313
YJL008C,314
YDR158W,315
YGR167W,316
YNL084C,317
YGL206C,318
YNL243W,319
YIR006C,320
YGL099W,321
YBR084W,322
YLR074C,323
YBR267W,324
YDR101C,325
YGR245C,326
YEL054C,327
YHR170W,328
YHR010W,329
YOR063W,330
YMR194W,331
YGL246C,332
YBR143C,333
YDR172W,334
YIL074C,335
YBR136W,336
YBR079C,337
YPL083C,338
YDL058W,339
YLR386W,340
YOR069W,341
YHR203C,342
YML025C,343
YMR064W,344
YNL177C,345
YIL104C,346
YKL122C,347
YPL210C,348
YPL243W,349
YDL092W,350
YML105C,351
YPR088C,352
YER155C,353
YPL240C,354
YLR452C,355
YDR457W,356
YGR204W,357
YDL112W,358
YBR121C,359
YCL050C,360
YPL218W,361
YKL029C,362
YFL045C,363
YDR341C,364
YLR355C,365
YGL238W,366
YHR128W,367
YJL052W,368
YNR016C,369
YKL067W,370
YLL018C,371
YDR335W,372
YBL076C,373
YLL040C,374
YBL039C,375
YHL011C,376
YFR031C,377
YBR263W,378
YPL009C,379
YOR048C,380
YOR078W,381
YCL059C,382
YDR324C,383
YPR144C,384
YDL213C,385
YPL139C,386
YPL070W,387
YIL084C,388
YCR057C,389
YOL010W,390
YPR137W,391
YNL097C,392
YLR197W,393
YPL126W,394
YDR299W,395
YGL171W,396
YKR060W,397
YML130C,398
YER082C,399
YHR148W,400
YBR084C,401
YDR365C,402
YMR093W,403
YJR002W,404
YJL033W,405
YGR145W,406
YGR128C,407
YPL217C,408
YNR043W,409
YHR169W,410
YJL069C,411
YNL075W,412
YLR222C,413
YLR180W,414
YMR012W,415
YGL195W,416
YLR106C,417
YLR335W,418
YOR151C,419
YDR127W,420
YHR019C,421
YLR304C,422
YMR205C,423
YDR502C,424
YGR218W,425
YKL152C,426
YER090W,427
YKL211C,428
YMR116C,429
YBR017C,430
YIL021W,431
YGR005C,432
YOL005C,433
YJL140W,434
YGR063C,435
YML010W,436
YDR404C,437
YGR186W,438
YPR093C,439
YGL070C,440
YDL115C,441
YDL117W,442
YLR450W,443
YER139C,444
YFR028C,445
YGL005C,446
YPR105C,447
YGR120C,448
YNL051W,449
YML071C,450
YNL041C,451
YER157W,452
YGL223C,453
YNL185C,454
YGR161C,455
YOR267C,456
YMR273C,457
YKR027W,458
YJL098W,459
YGL190C,460
YDL047W,461
YGL197W,462
YLR310C,463
YAL016W,464
YDL134C,465
YOR014W,466
YGL115W,467
YFR019W,468
YLR249W,469
YFR040W,470
YKR028W,471
YLR175W,472
YLR384C,473
YBL074C,474
YPL086C,475
YPL101W,476
YGR200C,477
YHR187W,478
YGL128C,479
YDR473C,480
YKL173W,481
YNL147W,482
YDR378C,483
YGR091W,484
YPL213W,485
YER112W,486
YHR085W,487
YNR053C,488
YHR197W,489
YNL182C,490
YLR406C,491
YMR242C,492
YGL076C,493
YCR072C,494
YJR065C,495
YGR261C,496
YDR507C,497
YNL216W,498
YJL076W,499
YKL112W,500
YCL024W,501
YAL027W,502
YHL025W,503
YBR114W,504
YLR052W,505
YDL002C,506
YBR289W,507
YMR075W,508
YER148W,509
YPL016W,510
YDR397C,511
YDR081C,512
YOL072W,513
YAL038W,514
YFR049W,515
YDR148C,516
YFL018C,517
YMR121C,518
YIL125W,519
YDR041W,520
YDR337W,521
YNR037C,522
YOR205C,523
YHL004W,524
YKL155C,525
YDR347W,526
YGL129C,527
YDR175C,528
YMR188C,529
YBR146W,530
YGR170W,531
YDR036C,532
YGR165W,533
YNL137C,534
YOR204W,535
YNL306W,536
YBR251W,537
YGR215W,538
YBL090W,539
YGR084C,540
YOR158W,541
YPL013C,542
YKL003C,543
YOR243C,544
YMR158W,545
YJR101W,546
YJR113C,547
YPL118W,548
YNL186W,549
YIL093C,550
YDR311W,551
YGL103W,552
YKL172W,553
YPL143W,554
YBR211C,555
YPL018W,556
YDR383C,557
YIR010W,558
YJR112W,559
YBR107C,560
YDR254W,561
YPL233W,562
YLR381W,563
YJR135C,564
YAL034W,565
YGR179C,566
YDR318W,567
YMR308C,568
YLL036C,569
YMR288W,570
YML049C,571
YBR055C,572
YBL026W,573
YLR424W,574
YDL098C,575
YDR416W,576
YLR117C,577
YCR063W,578
YGL100W,579
YPR101W,580
YHR156C,581
YMR240C,582
YDL209C,583
YBR065C,584
YJR050W,585
YBL104C,586
YMR213W,587
YBR152W,588
YGR278W,589
YOR308C,590
YER146W,591
YPR178W,592
YPL151C,593
YPR082C,594
YAL032C,595
YJL203W,596
YDL030W,597
YKR022C,598
YHR064C,599
YLR448W,600
YAL035W,601
YGR285C,602
YBL022C,603
YJL080C,604
YDR418W,605
YAL036C,606
YBR158W,607
YBR175W,608
YDR051C,609
YER048W,610
YDR392W,611
YOL148C,612
YHR099W,613
YLR055C,614
YDR176W,615
YDR448W,616
YGL066W,617
YGL112C,618
YGR252W,619
YBR198C,620
YPL254W,621
YMR223W,622
YCL010C,623
YBR081C,624
YML007W,625
YDR145W,626
YDR167W,627
YML062C,628
YNL253W,629
YBR025C,630
YNL004W,631
YDR381W,632
YHR167W,633
YDR138W,634
YNL139C,635
YDL084W,636
YHL015W,637
YJR123W,638
YLR226W,639
YPR161C,640
YPR057W,641
YOR361C,642
YLR330W,643
YDL040C,644
YHR013C,645
YJL099W,646
YGL213C,647
YBL061C,648
YNL071W,649
YOR132W,650
YER118C,651
YBR221C,652
YGR193C,653
YDR430C,654
YER178W,655
YDR338C,656
YJL154C,657
YHR012W,658
YAL002W,659
YLR396C,660
YMR231W,661
YPL045W,662
YDL077C,663
YLR148W,664
YDR080W,665
YDR364C,666
YLR132C,667
YNL286W,668
YFL034W,669
YKL135C,670
YHL019C,671
YHR023W,672
YLR170C,673
YPR029C,674
YPL259C,675
YBL032W,676
YGL043W,677
YLR196W,678
YOR312C,679
YLR029C,680
YPL198W,681
YER117W,682
YLR258W,683
YDR028C,684
YLR028C,685
YER133W,686
YER070W,687
YAR014C,688
YLR325C,689
YOR349W,690
YNL175C,691
YPR102C,692
YKL210W,693
YDL126C,694
YBR170C,695
YDR037W,696
YDR049W,697
YNL271C,698
YBL058W,699
YKL039W,700
YML013W,701
YGR048W,702
YNL076W,703
YDR422C,704
YBR265W,705
YBL023C,706
YBR126C,707
YPR035W,708
YER027C,709
YGL208W,710
YNR034W,711
YER129W,712
YDR477W,713
YJR042W,714
YPL169C,715
YKL057C,716
YLR208W,717
YDL116W,718
YGL092W,719
YBR011C,720
YDR449C,721
YOR039W,722
YLR409C,723
YLR186W,724
YLR003C,725
YDL014W,726
YLR129W,727
YGL019W,728
YOR061W,729
YPR112C,730
YCL031C,731
YLR223C,732
YLR398C,733
YKL130C,734
YHR216W,735
YLR432W,736
YAL029C,737
YJR009C,738
YGR086C,739
YPL004C,740
YDL019C,741
YER120W,742
YDR150W,743
YGR130C,744
YHL020C,745
YKL142W,746
YMR031C,747
YDR490C,748
YER081W,749
YAR042W,750
YJR138W,751
YBR196C,752
YFL039C,753
YNL138W,754
YGR233C,755
YOL001W,756
YLR276C,757
YGR085C,758
YDR097C,759
YIR002C,760
YAR007C,761
YJL173C,762
YNL312W,763
YCR092C,764
YML032C,765
YDR499W,766
YDL156W,767
YHR164C,768
YLL004W,769
YPR162C,770
YNL261W,771
YHR118C,772
YML065W,773
YBR060C,774
YMR109W,775
YOR244W,776
YNL059C,777
YFL024C,778
YNL218W,779
YGL150C,780
YFL013C,781
YDR129C,782
YLR454W,783
YLR429W,784
YBR202W,785
YBR130C,786
YPL153C,787
YGL157W,788
YBR177C,789
YIL034C,790
YBR109C,791
YKL007W,792
YDR083W,793
YOR217W,794
YGL241W,795
YKR048C,796
YPL128C,797
YDL167C,798
YPL084W,799
YOR304W,800
YGR020C,801
YHR039C,802
YLR447C,803
YPR036W,804
YEL051W,805
YOR270C,806
YKL119C,807
YDR202C,808
YDR516C,809
YOR332W,810
YDL185W,811
YKL080W,812
YJR033C,813
YOR319W,814
YDR395W,815
YBR115C,816
YAL059W,817
YIL094C,818
YOR136W,819
YBL030C,820
YFR009W,821
YER110C,822
YDR214W,823
YCR002C,824
YNL233W,825
YHR107C,826
YLR314C,827
YDL225W,828
YJR076C,829
YJR092W,830
YGR274C,831
YNL236W,832
YCR042C,833
YMR005W,834
YMR236W,835
YML015C,836
YPL011C,837
YMR227C,838
YML114C,839
YPR070W,840
YBR193C,841
YLR071C,842
YER022W,843
YNL025C,844
YOL135C,845
YGL151W,846
YOL051W,847
YBR253W,848
YHR041C,849
YDR308C,850
YCR081W,851
YDR443C,852
YGR104C,853
YDL166C,854
YNL308C,855
YML063W,856
YER074W,857
YLL011W,858
YBL072C,859
YIL128W,860
YNL240C,861
YER171W,862
YDR267C,863
YHR122W,864
YMR178W,865
YGR075C,866
YLR259C,867
YOL098C,868
YER086W,869
YHR208W,870
YJR148W,871
YNL085W,872
YDL055C,873
YOR133W,874
YPL208W,875
YDR361C,876
YMR243C,877
YFR014C,878
YOL097C,879
YLR153C,880
YML028W,881
YMR315W,882
YPL154C,883
YJR093C,884
YPR107C,885
YKL018W,886
YMR061W,887
YLR277C,888
YNL317W,889
YAL043C,890
YDR195W,891
YKR002W,892
YGR156W,893
YKL059C,894
YDR301W,895
YLR115W,896
YPR074C,897
YNL222W,898
YJR132W,899
YNL301C,900
YDR188W,901
YNL255C,902
YBR101C,903
YNL250W,904
YER092W,905
YBL056W,906
YER151C,907
YBR097W,908
YNR051C,909
YLR035C,910
YLR183C,911
YGR246C,912
YLR397C,913
YHR195W,914
YOL149W,915
YPL190C,916
YCR077C,917
YNL251C,918
YJL124C,919
YNL118C,920
YLR438C,921
YCL037C,922
YMR176W,923
YOL054W,924
YDL070W,925
YOL145C,926
YIR001C,927
YFR006W,928
YGL252C,929
YER177W,930
YML100W,931
YDR074W,932
YMR261C,933
YAL048C,934
YOR284W,935
YML103C,936
YPL206C,937
YBR087W,938
YOL094C,939
YMR078C,940
YOR144C,941
YNL088W,942
YJR068W,943
YNL290W,944
YER025W,945
YPL237W,946
YMR309C,947
YLR291C,948
YOR260W,949
YDR211W,950
YGR083C,951
YJR007W,952
YKR026C,953
YLR215C,954
YOR101W,955
YJL176C,956
YDR073W,957
YNR023W,958
YFL049W,959
YPL129W,960
YEL055C,961
YPL160W,962
YNR036C,963
YOL115W,964
YDR517W,965
YGL180W,966
YGR061C,967
YCR012W,968
YGL137W,969
YDL145C,970
YOL147C,971
YEL031W,972
YDR216W,973
YOR070C,974
YNL006W,975
YGR279C,976
YMR173W,977
YNL192W,978
YKL081W,979
YDR238C,980
YPL235W,981
