protein_id,index
YAL001C,0
YBR123C,1
YDR362C,2
YDR381W,3
YGR047C,4
YOR110W,5
YAL007C,6
YAR002C-A,7
YBL003C,8
YBR009C,9
YDR086C,10
YDR174W,11
YGL008C,12
YGL055W,13
YGL200C,14
YGR231C,15
YJL034W,16
YLR075W,17
YLR150W,18
YLR342W,19
YML012W,20
YMR214W,21
YNL055C,22
YAL011W,23
YDR190C,24
YDR334W,25
YDR485C,26
YJL081C,27
YLR085C,28
YML041C,29
YPL235W,30
YAL016W,31
YDL134C,32
YDL188C,33
YGL190C,34
YGR161C,35
YML109W,36
YMR273C,37
YNL209W,38
YOR014W,39
YPL152W,40
YAL017W,41
YAL019W,42
YAL026C,43
YIL035C,44
YAL021C,45
YCR093W,46
YDR252W,47
YNR052C,48
YAL024C,49
YNL312W,50
YML069W,51
YAL027W,52
YCR009C,53
YCR028C-A,54
YDL014W,55
YDR388W,56
YGL106W,57
YIL095W,58
YIL105C,59
YLL018C,60
YLR429W,61
YML095C,62
YNL106C,63
YOR294W,64
YPL004C,65
YPL022W,66
YPL146C,67
YPR171W,68
YAL033W,69
YBR257W,70
YHR062C,71
YNL221C,72
YAL034C,73
YER110C,74
YAL034W-A,75
YIR010W,76
YPL233W,77
YAL043C,78
YAL046C,79
YBL076C,80
YBL101C,81
YBR119W,82
YDL199C,83
YDR195W,84
YGR156W,85
YJR093C,86
YKL059C,87
YLR115W,88
YLR277C,89
YLR303W,90
YAL051W,91
YCR087C-A,92
YDR060W,93
YDR412W,94
YIL036W,95
YKL172W,96
YLR197W,97
YOR310C,98
YPR169W,99
YAL059W,100
YMR124W,101
YAL060W,102
YAL061W,103
YAR002W,104
YLR335W,105
YLR347C,106
YNL189W,107
YAR003W,108
YBR175W,109
YDR469W,110
YLR015W,111
YPL138C,112
YAR007C,113
YBL002W,114
YDL140C,115
YDR129C,116
YEL030W,117
YFL014W,118
YHR164C,119
YJL173C,120
YAL062W,121
YAR071W,122
YBR093C,123
YCR038C,124
YFR055W,125
YGL245W,126
YGL207W,127
YGL241W,128
YKR048C,129
YMR072W,130
YOL012C,131
YOL054W,132
YBL046W,133
YBR010W,134
YHL024W,135
YIL148W,136
YIL173W,137
YML103C,138
YMR044W,139
YNL201C,140
YOR058C,141
YOR061W,142
YBL008W,143
YBR215W,144
YBL016W,145
YBR072W,146
YDR171W,147
YLR259C,148
YNL246W,149
YBL019W,150
YBL021C,151
YOR358W,152
YBL024W,153
YIL070C,154
YBL026W,155
YJR022W,156
YMR268C,157
YBL032W,158
YGL105W,159
YBL035C,160
YNL102W,161
YBL036C,162
YBL037W,163
YNL265C,164
YOL062C,165
YBL038W,166
YGR093W,167
