protein_id,dataset,aliases,go_terms,go_term_names_if_available,go_namespaces,non_generic_go_terms,neighbor_ids,weighted_degree,local_clustering,k_core_score,text_profile,evidence_richness,annotation_uncertainty,weighted_degree_norm,local_clustering_norm,k_core_score_norm,evidence_richness_norm,annotation_uncertainty_norm
YAL001C,krogan,,GO:0000127;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0005739;GO:0006383;GO:0006384;GO:0008301;GO:0042791;GO:0071168,,,GO:0000127;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0005739;GO:0006383;GO:0006384;GO:0008301;GO:0042791;GO:0071168,YBR123C;YDR362C;YDR381W;YGR047C;YOR110W;YDL074C;YDL078C;YDL097C;YDL147W;YDR449C;YDR523C;YFR052W;YMR093W,13.0,0.1282051282051282,6,YAL001C GO:0000127 GO:0001002 GO:0001003 GO:0003677 GO:0005634 GO:0005739 GO:0006383 GO:0006384 GO:0008301 GO:0042791 GO:0071168,12,0.0,0.08633093525179857,0.1282051282051282,0.35714285714285715,0.16923076923076924,0.0
YBR123C,krogan,,GO:0000127;GO:0001002;GO:0001003;GO:0001004;GO:0003677;GO:0005634;GO:0006383;GO:0006384;GO:0008301;GO:0042791,,,GO:0000127;GO:0001002;GO:0001003;GO:0001004;GO:0003677;GO:0005634;GO:0006383;GO:0006384;GO:0008301;GO:0042791,YAL001C;YDR362C;YGR047C;YOR110W;YPL007C,5.0,0.7,4,YBR123C GO:0000127 GO:0001002 GO:0001003 GO:0001004 GO:0003677 GO:0005634 GO:0006383 GO:0006384 GO:0008301 GO:0042791,11,0.0,0.02877697841726619,0.7,0.21428571428571427,0.15384615384615385,0.0
YDR362C,krogan,,GO:0000127;GO:0000995;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0006383;GO:0042791,,,GO:0000127;GO:0000995;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0006383;GO:0042791,YAL001C;YBR123C;YDR087C;YDR155C;YDR174W;YGR047C;YOR110W;YPL007C,8.0,0.25,4,YDR362C GO:0000127 GO:0000995 GO:0001002 GO:0001003 GO:0003677 GO:0005634 GO:0006383 GO:0042791,9,0.0,0.050359712230215826,0.25,0.21428571428571427,0.12307692307692308,0.0
YDR381W,krogan,,GO:0000346;GO:0003676;GO:0003723;GO:0005515;GO:0005634;GO:0006283;GO:0006406;GO:0043462;GO:1902281;GO:1990119,,,GO:0000346;GO:0003676;GO:0003723;GO:0005515;GO:0005634;GO:0006283;GO:0006406;GO:0043462;GO:1902281;GO:1990119,YAL001C;YAL007C;YAL027W;YBL024W;YBL093C;YBR054W;YBR159W;YBR187W;YBR215W;YBR278W;YCL011C;YCR009C;YCR043C;YDL019C;YDL040C;YDL043C;YDL060W;YDL070W;YDL092W;YDL182W;YDL201W;YDR001C;YDR174W;YDR195W;YDR207C;YDR283C;YDR365C;YDR398W;YDR440W;YDR449C;YDR462W;YDR475C;YDR515W;YER035W;YER050C;YER174C;YFR010W;YFR030W;YGL067W;YGL099W;YGL112C;YGL120C;YGL122C;YGL166W;YGL173C;YGL200C;YGL213C;YGL244W;YGL252C;YGR128C;YGR170W;YGR245C;YHL034C;YHR013C;YHR039C;YHR052W;YHR066W;YHR090C;YHR118C;YHR127W;YHR185C;YHR193C;YIL026C;YIL043C;YIL070C;YIL161W;YIR001C;YIR008C;YJL006C;YJL033W;YJL050W;YJL109C;YJL125C;YJL128C;YJL168C;YJR032W;YJR041C;YJR084W;YKL004W;YKL018W;YKL023W;YKL075C;YKL114C;YKL155C;YKL212W;YKR024C;YKR037C;YKR048C;YKR092C;YLL027W;YLR002C;YLR022C;YLR170C;YLR333C;YLR386W;YLR398C;YLR429W;YLR435W;YLR455W;YML010W;YML012W;YML062C;YML065W;YML112W;YMR014W;YMR123W;YMR128W;YMR229C;YMR237W;YMR239C;YMR240C;YNL049C;YNL051W;YNL061W;YNL088W;YNL139C;YNL177C;YNL238W;YNL252C;YNL293W;YNL308C;YNL317W;YNR051C;YOL004W;YOL033W;YOL115W;YOR048C;YOR206W;YOR213C;YPL001W;YPL022W;YPL169C;YPL195W;YPL209C;YPL217C;YPL227C;YPR045C;YPR107C;YPR162C;YLR085C,140.0,0.0131551901336074,8,YDR381W GO:0000346 GO:0003676 GO:0003723 GO:0005515 GO:0005634 GO:0006283 GO:0006406 GO:0043462 GO:1902281 GO:1990119,11,0.0,1.0,0.0131551901336074,0.5,0.15384615384615385,0.0
YGR047C,krogan,,GO:0000127;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0005737;GO:0006383;GO:0008301;GO:0042791,,,GO:0000127;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0005737;GO:0006383;GO:0008301;GO:0042791,YAL001C;YBR123C;YDR362C;YOR110W,4.0,1.0,4,YGR047C GO:0000127 GO:0001002 GO:0001003 GO:0003677 GO:0005634 GO:0005737 GO:0006383 GO:0008301 GO:0042791,10,0.0,0.02158273381294964,1.0,0.21428571428571427,0.13846153846153847,0.0
YOR110W,krogan,,GO:0000127;GO:0000995;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0006383;GO:0008301;GO:0016311;GO:0016791;GO:0042791,,,GO:0000127;GO:0000995;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0006383;GO:0008301;GO:0016311;GO:0016791;GO:0042791,YAL001C;YBR123C;YDR362C;YGR047C,4.0,1.0,4,YOR110W GO:0000127 GO:0000995 GO:0001002 GO:0001003 GO:0003677 GO:0005634 GO:0006383 GO:0008301 GO:0016311 GO:0016791 GO:0042791,12,0.0,0.02158273381294964,1.0,0.21428571428571427,0.16923076923076924,0.0
YAL007C,krogan,,GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006621;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016192;GO:0030134,,,GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006621;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016192;GO:0030134,YAR002C-A;YBL003C;YBR009C;YDR086C;YDR174W;YDR381W;YGL008C;YGL055W;YGL200C;YGR231C;YJL034W;YLR075W;YLR150W;YLR342W;YML012W;YMR214W;YNL055C,17.0,0.10294117647058823,6,YAL007C GO:0005783 GO:0005789 GO:0005793 GO:0005794 GO:0006621 GO:0006886 GO:0006888 GO:0007030 GO:0015031 GO:0016020 GO:0016021 GO:0016192 GO:0030134,14,0.0,0.11510791366906475,0.10294117647058823,0.35714285714285715,0.2,0.0
YAR002C-A,krogan,,GO:0005739;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006621;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016192;GO:0030134,,,GO:0005739;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006621;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016020;GO:0016021;GO:0016192;GO:0030134,YAL007C;YGL200C,2.0,1.0,2,YAR002C-A GO:0005739 GO:0005783 GO:0005789 GO:0005793 GO:0005794 GO:0006621 GO:0006886 GO:0006888 GO:0007030 GO:0015031 GO:0016020 GO:0016021 GO:0016192 GO:0030134,15,0.0,0.007194244604316547,1.0,0.07142857142857142,0.2153846153846154,0.0
YBL003C,krogan,,GO:0000786;GO:0000788;GO:0000790;GO:0003677;GO:0005634;GO:0005694;GO:0006281;GO:0006325;GO:0006333;GO:0006342;GO:0006974;GO:0031298;GO:0046982,,,GO:0000786;GO:0000788;GO:0000790;GO:0003677;GO:0005634;GO:0005694;GO:0006281;GO:0006325;GO:0006333;GO:0006342;GO:0006974;GO:0031298;GO:0046982,YAL007C;YAL011W;YBL002W;YBL046W;YBR009C;YBR010W;YCR028C-A;YDR174W;YGL207W;YGL241W;YHL024W;YIL035C;YIL148W;YIL173W;YJL034W;YKR048C;YML069W;YML103C;YMR044W;YMR072W;YNL201C;YOR058C;YOR061W;YBL052C;YBR049C;YBR060C;YBR247C;YCR087C-A;YDL002C;YDL019C;YDL070W;YDL095W;YDL105W;YDL208W;YDR044W;YDR052C;YDR075W;YDR207C;YDR224C;YDR225W;YDR463W;YEL012W;YEL018W;YER092W;YER116C;YER147C;YFL013C;YFL024C;YGL035C;YGL227W;YGL252C;YGR250C;YHR090C;YHR118C;YHR193C;YIL026C;YIL043C;YIL056W;YIL076W;YJL033W;YJL047C;YJL138C;YJR010C-A;YJR052W;YJR082C;YLR022C;YLR033W;YLR385C;YMR223W;YMR284W;YNL030W;YNL031C;YNL059C;YNL088W;YNL209W;YOL051W;YOL059W;YOR217W;YOR244W;YPL001W;YPL032C;YPR008W;YPR161C;YDL014W;YHL034C;YNL290W;YPL090C,87.0,0.04330392943063352,8,YBL003C GO:0000786 GO:0000788 GO:0000790 GO:0003677 GO:0005634 GO:0005694 GO:0006281 GO:0006325 GO:0006333 GO:0006342 GO:0006974 GO:0031298 GO:0046982,14,0.0,0.6187050359712231,0.04330392943063352,0.5,0.2,0.0
YBR009C,krogan,,GO:0000786;GO:0000788;GO:0003677;GO:0005634;GO:0005694;GO:0006333;GO:0006334;GO:0031298;GO:0034729;GO:0042025;GO:0043935;GO:0046982;GO:0061587,,,GO:0000786;GO:0000788;GO:0003677;GO:0005634;GO:0005694;GO:0006333;GO:0006334;GO:0031298;GO:0034729;GO:0042025;GO:0043935;GO:0046982;GO:0061587,YAL007C;YBL002W;YBL003C;YBR010W;YCL040W;YDR174W;YEL056W;YGL207W;YIL070C;YJL115W;YLL022C;YML069W;YMR072W;YMR284W;YOL054W;YOR217W;YPL001W;YBR060C;YCR043C;YDL095W;YDR044W;YDR224C;YER116C;YGR275W;YHR118C;YIL076W;YJL047C;YLR320W;YML012W;YML065W;YMR043W;YNL030W;YNL031C;YOR064C;YPR046W;YNL206C,36.0,0.15873015873015872,8,YBR009C GO:0000786 GO:0000788 GO:0003677 GO:0005634 GO:0005694 GO:0006333 GO:0006334 GO:0031298 GO:0034729 GO:0042025 GO:0043935 GO:0046982 GO:0061587,14,0.0,0.2517985611510791,0.15873015873015872,0.5,0.2,0.0
