protein_a,protein_b,weight
YAL001C,YBR123C,1.0
YAL001C,YDL074C,1.0
YAL001C,YDL078C,1.0
YAL001C,YDL097C,1.0
YAL001C,YDL147W,1.0
YAL001C,YDR362C,1.0
YAL001C,YDR381W,1.0
YAL001C,YDR449C,1.0
YAL001C,YDR523C,1.0
YAL001C,YFR052W,1.0
YAL001C,YGR047C,1.0
YAL001C,YMR093W,1.0
YAL001C,YOR110W,1.0
YAL007C,YAR002C-A,1.0
YAL007C,YBL003C,1.0
YAL007C,YBR009C,1.0
YAL007C,YDR086C,1.0
YAL007C,YDR174W,1.0
YAL007C,YGL008C,1.0
YAL007C,YGL055W,1.0
YAL007C,YGL200C,1.0
YAL007C,YGR231C,1.0
YAL007C,YJL034W,1.0
YAL007C,YLR075W,1.0
YAL007C,YLR150W,1.0
YAL007C,YLR342W,1.0
YAL007C,YML012W,1.0
YAL007C,YMR214W,1.0
YAL007C,YNL055C,1.0
YAL011W,YBR231C,1.0
YAL011W,YDR190C,1.0
YAL011W,YDR334W,1.0
YAL011W,YDR485C,1.0
YAL011W,YGR086C,1.0
YAL011W,YJL081C,1.0
YAL011W,YLR085C,1.0
YAL011W,YLR385C,1.0
YAL011W,YML041C,1.0
YAL011W,YPL235W,1.0
YAL012W,YKL210W,1.0
YAL012W,YOL013C,1.0
YAL013W,YBR095C,1.0
YAL013W,YMR263W,1.0
YAL013W,YPL139C,1.0
YAL013W,YPL181W,1.0
YAL016W,YBR079C,1.0
YAL016W,YDL134C,1.0
YAL016W,YDL188C,1.0
YAL016W,YGL190C,1.0
YAL016W,YGR161C,1.0
YAL016W,YML109W,1.0
YAL016W,YMR273C,1.0
YAL016W,YNL209W,1.0
YAL016W,YOR014W,1.0
YAL016W,YOR162C,1.0
YAL016W,YPL152W,1.0
YAL017W,YCR020W-B,1.0
YAL017W,YDL100C,1.0
YAL017W,YNL247W,1.0
YAL017W,YOR196C,1.0
YAL017W,YPR034W,1.0
YAL019W,YAL026C,1.0
YAL019W,YDL097C,1.0
YAL019W,YDL147W,1.0
YAL019W,YFR052W,1.0
YAL019W,YIL035C,1.0
YAL019W,YJR119C,1.0
YAL019W,YLR027C,1.0
YAL020C,YBL071W-A,1.0
YAL021C,YCR093W,1.0
YAL021C,YDR252W,1.0
YAL021C,YGR134W,1.0
YAL021C,YNL288W,1.0
YAL021C,YNR052C,1.0
YAL023C,YBR159W,1.0
YAL023C,YCR043C,1.0
YAL024C,YNL312W,1.0
YAL024C,YPR140W,1.0
YAL026C,YDL019C,1.0
YAL026C,YDR054C,1.0
YAL026C,YKL010C,1.0
YAL026C,YML069W,1.0
YAL027W,YCR009C,1.0
YAL027W,YCR028C-A,1.0
YAL027W,YDL014W,1.0
YAL027W,YDR388W,1.0
YAL027W,YER049W,1.0
YAL027W,YGL106W,1.0
YAL027W,YIL095W,1.0
YAL027W,YIL105C,1.0
YAL027W,YLL018C,1.0
YAL027W,YLR429W,1.0
YAL027W,YML095C,1.0
YAL027W,YMR128W,1.0
YAL027W,YNL106C,1.0
YAL027W,YOR294W,1.0
YAL027W,YPL004C,1.0
YAL027W,YPL022W,1.0
YAL027W,YPL146C,1.0
YAL027W,YPR171W,1.0
YAL029C,YBR130C,1.0
YAL029C,YDR457W,1.0
YAL029C,YGL213C,1.0
YAL029C,YKL018W,1.0
YAL029C,YKL124W,1.0
YAL029C,YLR304C,1.0
YAL029C,YMR075W,1.0
YAL032C,YDL043C,1.0
YAL032C,YDR416W,1.0
YAL032C,YPL151C,1.0
YAL033W,YBR257W,1.0
YAL033W,YHR062C,1.0
YAL033W,YIR015W,1.0
YAL033W,YNL221C,1.0
YAL034C,YER110C,1.0
YAL034C,YOL004W,1.0
YAL034W-A,YIR010W,1.0
YAL034W-A,YJR112W,1.0
YAL034W-A,YPL233W,1.0
YAL036C,YBR279W,1.0
YAL036C,YDL168W,1.0
YAL036C,YOR091W,1.0
YAL043C,YAL046C,1.0
YAL043C,YBL076C,1.0
YAL043C,YBL101C,1.0
YAL043C,YBR119W,1.0
YAL043C,YDL199C,1.0
YAL043C,YDR195W,1.0
