gold_complex_id,gold_size,best_candidate_id,best_jaccard,category
CPX-15,3,,0.0,best_jaccard_eq_0
CPX-21,3,438.0,0.2,best_jaccard_between_0_and_0.5
CPX-23,17,350.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-24,8,586.0,0.3125,best_jaccard_between_0_and_0.5
CPX-25,29,589.0,0.3793103448275862,best_jaccard_between_0_and_0.5
CPX-26,22,554.0,0.27586206896551724,best_jaccard_between_0_and_0.5
CPX-29,14,318.0,0.1956521739130435,best_jaccard_between_0_and_0.5
CPX-30,10,318.0,0.1590909090909091,best_jaccard_between_0_and_0.5
CPX-31,10,318.0,0.13333333333333333,best_jaccard_between_0_and_0.5
CPX-32,18,318.0,0.2553191489361702,best_jaccard_between_0_and_0.5
CPX-36,3,217.0,0.2,best_jaccard_between_0_and_0.5
CPX-43,7,350.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-44,7,586.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-45,7,586.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-46,6,586.0,0.35714285714285715,best_jaccard_between_0_and_0.5
CPX-112,8,586.0,0.5,best_jaccard_ge_0.5
CPX-124,4,190.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-140,6,,0.0,best_jaccard_eq_0
CPX-154,2,,0.0,best_jaccard_eq_0
CPX-161,3,122.0,0.2,best_jaccard_between_0_and_0.5
CPX-162,2,,0.0,best_jaccard_eq_0
CPX-166,2,,0.0,best_jaccard_eq_0
CPX-231,3,382.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-232,3,382.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-242,2,171.0,0.25,best_jaccard_between_0_and_0.5
CPX-297,11,208.0,0.15384615384615385,best_jaccard_between_0_and_0.5
CPX-301,7,63.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-302,2,,0.0,best_jaccard_eq_0
CPX-303,2,,0.0,best_jaccard_eq_0
CPX-307,6,,0.0,best_jaccard_eq_0
CPX-325,2,,0.0,best_jaccard_eq_0
CPX-335,2,334.0,0.125,best_jaccard_between_0_and_0.5
CPX-336,2,334.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-337,2,334.0,0.125,best_jaccard_between_0_and_0.5
CPX-339,2,334.0,0.125,best_jaccard_between_0_and_0.5
CPX-342,3,334.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-361,2,289.0,1.0,best_jaccard_ge_0.5
CPX-384,2,,0.0,best_jaccard_eq_0
CPX-385,2,10.0,0.25,best_jaccard_between_0_and_0.5
CPX-386,2,195.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-393,3,6.0,0.05,best_jaccard_between_0_and_0.5
CPX-396,4,216.0,0.125,best_jaccard_between_0_and_0.5
CPX-397,3,211.0,0.4,best_jaccard_between_0_and_0.5
CPX-416,3,,0.0,best_jaccard_eq_0
CPX-417,2,213.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-418,2,228.0,0.5,best_jaccard_ge_0.5
CPX-422,5,152.0,0.625,best_jaccard_ge_0.5
CPX-425,3,206.0,0.25,best_jaccard_between_0_and_0.5
