community_id,protein_id,method,dataset,seed,source_method,source_dataset,membership_type,membership_score,topology_score,semantic_score,go_score,expansion_gain
0,YBR154C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YDL150W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YDR005C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YDR045C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YFR028C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YGL156W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YJL011C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YJR063W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YKL144C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YKR025W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YNL113W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YNL151C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YNL248C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YNR003C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YOR116C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YOR207C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YOR210W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YOR224C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YOR340C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YOR341W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YPR010C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YPR032W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YPR110C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
0,YPR190C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YDL115C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YDL140C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YDR390C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YDR404C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YGL070C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YGR005C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YGR063C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YGR186W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YHL021C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YIL021W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YJL140W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YOL005C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YOR151C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YPR093C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YPR180W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
1,YPR187W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YBR245C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YBR289W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YCR052W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YDR073W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YDR303C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YFL049W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YFR037C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YGR056W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YGR275W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YHL025W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YHR056C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YIL126W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YJL176C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YKR008W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YLR033W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YLR321C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YLR357W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YML127W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YMR033W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YMR091C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YNR023W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YOR290C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YPL016W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YPL129W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
2,YPR034W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
3,YBR049C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
3,YLR176C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
4,YBR072W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
4,YEL022W,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
4,YJR077C,MCL,gavin_yeast,42.0,MCL,gavin_yeast,,,,,,
