Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,5,0.5000,5.000,55.00,0.07143,0.259625,"YDR174W YIL036W YIL150C YOR172W YNL094W"
2,4,0.5000,3.000,46.00,0.05263,0.144070,"YGL106W YKR010C YML034W YOR035C"
3,4,0.5000,3.000,42.00,0.05660,0.267852,"YGL207W YHR035W YMR041C YOR101W"
4,4,0.5000,3.000,39.00,0.06000,0.144070,"YIL070C YHR059W YOL143C YKL151C"
5,4,0.6667,4.000,19.00,0.1290,0.929200,"YGL241W YDR224C YOL012C YLR133W"
6,4,0.5000,3.000,36.00,0.06383,0.144070,"YGR086C YGR267C YOL045W YPR115W"
7,4,0.5000,3.000,37.00,0.06250,0.434331,"YMR229C YDR545W YNL299W YOR140W"
8,2,1.000,1.000,1.000,0.1667,0.308538,"YMR043W YNL042W"
9,4,0.5000,3.000,35.00,0.06522,0.226949,"YDR363W-A YNL087W YGL094C YKL025C"
10,5,0.5000,5.000,33.00,0.1042,0.185547,"YNL189W YML060W YER161C YOR098C YGR202C"
11,4,0.5000,3.000,33.00,0.06818,0.647272,"YGL251C YLR249W YIL034C YOR086C"
12,5,0.5000,5.000,40.00,0.09091,0.415742,"YER050C YIL093C YNL081C YMR158W YPL013C"
13,4,0.5000,3.000,31.00,0.07143,0.434331,"YEL037C YDL190C YDR081C YPL096W"
14,4,0.5000,3.000,30.00,0.07317,0.434331,"YML069W YOL108C YGR071C YML107C"
15,4,0.5000,3.000,33.00,0.06818,0.892262,"YPL004C YJL110C YGL116W YPL155C"
16,31,0.4581,213.0,123.0,0.5352,5.16307e-07,"YDL097C YDL147W YFR052W YFR010W YIR012W YGR232W YIL075C YOR209C YER021W YDR427W YFR004W YGL048C YDL007W YDR363W-A YDR394W YHR027C YHR200W YKL145W YOR117W YOR259C YCR014C YAL042W YBL054W YBR080C YLR421C YOR261C YPR108W YPR040W YDL036C YGL095C YMR191W"
17,4,0.5000,3.000,27.00,0.07895,0.144070,"YLR197W YIL159W YJL010C YJL162C"
18,5,0.5000,5.000,41.00,0.08929,0.335201,"YLR175W YMR290C YDR113C YNL227C YPL009C"
19,4,0.5000,3.000,27.00,0.07895,0.144070,"YDR099W YDR348C YLR176C YNR014W"
20,4,0.5000,3.000,10.00,0.1429,0.780580,"YNL138W YFL023W YLR200W YJL005W"
21,20,0.5053,96.00,109.0,0.3918,0.00344859,"YPR110C YOL021C YBR154C YOR210W YPR187W YJR063W YNL113W YPR010C YDL150W YJL011C YOR207C YNR003C YDR045C YKL144C YKR025W YNL151C YOR116C YPR190C YDL042C YDR005C"
22,7,0.5238,11.00,55.00,0.1375,0.182886,"YAR002W YLR347C YNL189W YLR335W YER091C YPL020C YML060W"
23,13,0.7949,62.00,56.00,0.4306,0.00661984,"YDL002C YER092W YFL013C YNL059C YDR190C YJL081C YPL235W YOR141C YEL044W YLR052W YNL215W YOR189W YGL150C"
24,14,0.7582,69.00,39.00,0.5074,0.000108808,"YDR195W YKL018W YNL317W YPR107C YLR277C YAL043C YGR156W YJR093C YKL059C YLR115W YOR179C YDR301W YKR002W YNL222W"
25,4,0.5000,3.000,27.00,0.07895,0.560306,"YIL173W YNL031C YBR281C YNL079C"
26,24,0.5833,161.0,39.00,0.6492,5.76281e-09,"YBL093C YOL051W YBR193C YGL127C YGR104C YPR168W YOR174W YER022W YBR253W YDL005C YDR308C YGL025C YHR058C YNR010W YPR070W YNL236W YGL151W YMR112C YHR041C YLR071C YCR081W YDR443C YOL135C YPL042C"
27,4,0.5000,3.000,24.00,0.08571,0.267852,"YGL245W YDL103C YDR480W YHR111W"
28,5,0.5000,5.000,27.00,0.1190,0.415742,"YPR175W YCL032W YBR185C YDL020C YDL069C"
29,21,0.5095,107.0,103.0,0.4246,0.000512738,"YPR110C YNL248C YBR154C YOR210W YPR187W YJL148W YDR026C YDR156W YJR063W YNL113W YOR340C YOR341W YPR010C YDL150W YOR207C YNR003C YOR116C YPR190C YHR143W-A YFR028C YIR024C"
30,8,0.5000,14.00,48.00,0.1795,0.563425,"YGL173C YGL213C YKL023W YLR398C YGR054W YPR189W YDR153C YKL015W"
31,23,0.5020,127.0,33.00,0.6165,2.79504e-09,"YGL112C YMR223W YDR176W YDR167W YGL066W YGR274C YPL047W YDR145W YDR392W YBR081C YBR198C YLR055C YOL148C YDR448W YMR236W YGR252W YML015C YMR005W YMR227C YPL011C YPL254W YML098W YCL010C"
32,5,0.5000,5.000,29.00,0.1136,0.877605,"YJL033W YNL132W YDR299W YDR153C YAL008W"
33,6,0.5333,8.000,40.00,0.1333,0.402551,"YOR310C YPR178W YOR078W YPR137W YDL051W YOR287C"
34,4,0.5000,3.000,24.00,0.08571,0.678853,"YGL070C YBL082C YCR079W YBL059W"
35,4,0.5000,3.000,21.00,0.09375,0.267852,"YDR385W YJL046W YMR315W YGR187C"
36,5,0.5000,5.000,37.00,0.09615,0.743794,"YGL116W YIL021W YOL005C YDR143C YPR133C"
37,5,0.5000,5.000,37.00,0.09615,0.743794,"YDR175C YBR251W YNL242W YJR096W YNL022C"
38,4,0.5000,3.000,25.00,0.08333,0.952460,"YCR009C YPL249C YHR042W YOL098C"
39,6,0.5333,8.000,33.00,0.1509,0.342088,"YGR090W YNL186W YCL031C YKL078W YNL176C YGR251W"
40,3,0.6667,2.000,2.000,0.2000,0.246781,"YKL004W YIL127C YJR105W"
41,23,0.3953,100.0,87.00,0.4292,0.000333334,"YML010W YPL129W YGR063C YGL070C YDL140C YBR154C YDL115C YDR404C YGL043W YGR005C YGR186W YIL021W YJL140W YOL005C YOR151C YOR210W YPR187W YJR017C YOR224C YGR140W YPR133C YBR259W YPL225W"
42,20,0.5158,98.00,97.00,0.4170,0.000545418,"YBR119W YER029C YGR013W YGR074W YIL061C YKL012W YLR147C YLR275W YML046W YDL087C YDR240C YFL017W-A YLR298C YBL074C YOR159C YHR165C YPR182W YPL213W YPR057W YNL092W"
43,4,0.5000,3.000,18.00,0.1034,0.144070,"YER012W YDL203C YJL132W YLR290C"
44,4,0.5000,3.000,18.00,0.1034,0.144070,"YPR080W YBR176W YDL236W YOL072W"
45,4,0.5000,3.000,20.00,0.09677,0.647272,"YDR087C YLR032W YGR068C YPL170W"
46,5,0.5000,5.000,36.00,0.09804,0.500000,"YDR365C YNR054C YMR280C YIL142W YHR065C"
47,2,1.000,1.000,1.000,0.1667,0.308538,"YPR131C YOL076W"
48,17,0.7426,101.0,56.00,0.5288,4.25033e-05,"YLR033W YGR275W YCR020W-B YPR034W YFR037C YMR091C YCR052W YDR520C YIL126W YKR008W YLR321C YLR357W YML127W YMR033W YDR303C YGR056W YDL179W"
49,5,0.5000,5.000,25.00,0.1250,0.415742,"YAL027W YPL022W YLL018C YML095C YPL183C"
50,4,0.5000,3.000,16.00,0.1111,0.144070,"YJL050W YMR137C YOL120C YOR212W"
51,2,1.000,1.000,3.000,0.1250,0.933193,"YOR064C YLL062C"
52,8,0.5000,14.00,38.00,0.2059,0.664857,"YOR061W YKR072C YER164W YGL019W YKL088W YOR039W YLR407W YMR172W"
53,4,0.5000,3.000,16.00,0.1111,0.144070,"YGR103W YJL192C YMR023C YMR076C"
54,5,0.5000,5.000,23.00,0.1316,0.500000,"YDL043C YPL151C YAL032C YCR063W YGL174W"
55,4,0.5000,3.000,26.00,0.08108,0.986741,"YDL060W YIL095W YEL054C YOR198C"
56,4,0.5000,3.000,17.00,0.1071,0.434331,"YDL182W YBL086C YDR500C YER122C"
57,4,0.5000,3.000,17.00,0.1071,0.434331,"YIL043C YGR032W YML072C YPL249C-A"
58,4,0.5000,3.000,21.00,0.09375,0.918262,"YEL056W YOR386W YMR230W YBR039W"
59,14,0.5824,53.00,54.00,0.3926,0.00227374,"YHR090C YBL052C YEL018W YFL024C YJR082C YOR244W YNL136W YJL081C YGR002C YNL107W YPR023C YPR031W YDR359C YHR099W"
60,5,0.7000,7.000,7.000,0.2917,0.100128,"YDL105W YDR288W YOL034W YEL019C YOR352W"
61,4,0.5000,3.000,9.000,0.1500,0.915399,"YHL032C YNL281W YLR305C YDR139C"
62,4,0.5000,3.000,15.00,0.1154,0.144070,"YBR127C YJR069C YML121W YNL239W"
63,4,0.5000,3.000,15.00,0.1154,0.144070,"YOR157C YDR011W YDR179W-A YGL201C"
64,5,0.6000,6.000,21.00,0.1622,0.416002,"YGL120C YKR022C YNL224C YLR424W YGL128C"
65,9,0.5000,18.00,33.00,0.2609,0.171709,"YDL043C YMR240C YMR288W YML049C YDL030W YDR482C YGL174W YJL203W YOR319W"
66,6,0.5333,8.000,41.00,0.1311,0.907962,"YCR060W YHR034C YBR079C YOR052C YMR309C YLR192C"
67,14,0.7582,69.00,40.00,0.5036,6.58495e-05,"YOR001W YOL021C YCR035C YDL111C YDR280W YNL232W YGR095C YGR158C YHR069C YOR076C YGR195W YNR024W YOL142W YHR081W"
68,20,0.5105,97.00,117.0,0.3819,0.00260063,"YBR119W YER029C YGR074W YKL012W YLR147C YLR275W YFL017W-A YOR159C YJR022W YKL173W YER172C YDR473C YHR165C YPR182W YPL213W YPR057W YGR091W YOR308C YNR011C YBR055C"
69,3,0.6667,2.000,6.000,0.1429,0.815656,"YKL114C YPL127C YDL235C"
70,2,1.000,1.000,2.000,0.1429,1.00000,"YOL052C YIR021W"
71,4,0.5000,3.000,7.000,0.1667,0.620792,"YBR155W YJR031C YGL050W YJL197W"
72,20,0.5684,108.0,37.00,0.5838,9.75911e-07,"YPR103W YGR135W YOL038W YOR362C YBL041W YFR050C YGL011C YGR253C YJL001W YML092C YMR314W YER012W YOR157C YER094C YBR173C YKR070W YEL061C YKL206C YCR076C YGL096W"
73,20,0.5211,99.00,89.00,0.4342,4.71974e-05,"YER050C YIL070C YKL155C YDR337W YBR146W YDR175C YDR347W YGL129C YGR165W YHL004W YIL093C YJR101W YJR113C YNL137C YOR158W YPL118W YBR251W YNR036C YDR124W YJR060W"
74,4,0.5000,3.000,17.00,0.1071,0.672384,"YMR093W YJR104C YCL036W YDL176W"
75,3,0.6667,2.000,14.00,0.09091,0.500000,"YGL252C YNL208W YNL076W"
