core_id,core_protein,core_potential,weighted_degree,local_clustering,k_core_score,semantic_neighborhood_coherence,evidence_richness,initial_members
0,YHL004W,0.6355661411973371,8.566659246278373,0.1574192844880301,24,0.8273926448331201,8,YBL090W;YBR146W;YBR251W;YDR036C;YDR041W;YGL129C;YGR084C;YGR215W;YHL004W;YIL093C;YJR101W;YJR113C;YKL155C;YMR158W;YMR188C;YNL306W;YNR037C;YOR158W;YPL013C;YPL118W
1,YGR220C,0.6207021046136104,8.507729283526997,0.1207878784272201,24,0.8146562447343622,7,YBL038W;YBR122C;YCR046C;YCR071C;YDR296W;YDR405W;YGR220C;YKL167C;YKR006C;YKR085C;YML025C;YMR098C;YMR193W;YNL252C;YPL183W
2,YCR035C,0.5732342255447291,5.385045674215617,0.333266412189088,12,0.9124192549861612,30,YCR035C;YDR280W;YGR158C;YGR195W;YHR069C;YNL232W;YOL021C;YOL142W;YOR001W;YOR076C
3,YHR165C,0.5563903896765099,8.68225034491863,0.06483698108521,11,0.8802667649535593,21,YBL026W;YDL209C;YDR378C;YDR416W;YDR473C;YGL128C;YGR091W;YGR278W;YHR165C;YKL173W;YLR117C;YLR424W;YMR213W;YPR178W
4,YER022W,0.5324752352333335,5.9086903963781605,0.1621270849961665,16,0.9271139718483099,12,YBR253W;YDR308C;YDR443C;YER022W;YGL025C;YGL151W;YGR104C;YLR071C;YMR112C;YNR010W;YPR070W
5,YNR035C,0.5316866785434099,4.2353186323361545,0.6252714534531851,6,0.9545508907438137,20,YBR234C;YDL029W;YIL062C;YJR065C;YKL013C;YLR370C;YNR035C
6,YPL045W,0.507271350846594,4.057516637632241,0.5467128870004604,6,0.922626255541774,21,YAL002W;YDL077C;YDR080W;YLR148W;YLR396C;YMR231W;YPL045W
7,YBR160W,0.5067213122641425,2.3836621169332397,0.2932442550383358,6,0.7062776484776916,66,YBR135W;YBR160W;YKR091W;YLR079W;YMR199W
8,YGL066W,0.501372042355505,5.637022646852504,0.2407108013731414,11,0.8014235726728075,21,YBR081C;YBR198C;YCL010C;YDR448W;YGL066W;YMR223W;YMR236W;YPL254W
9,YJR076C,0.5006030426221565,3.4518524654240106,0.4146721553374376,5,0.9486881583517999,34,YCR002C;YDL225W;YHR107C;YJR076C;YJR092W;YLR314C
10,YGR056W,0.4955777534955852,5.099882740608248,0.3302542441740502,9,0.9397358038842761,14,YCR052W;YDR303C;YFR037C;YGR056W;YHR056C;YIL126W;YKR008W;YLR033W;YLR321C;YMR091C;YPR034W
11,YDR235W,0.4953213885295107,4.784895023076546,0.3244935893845448,11,0.9279342964500709,12,YBR119W;YDL087C;YDR235W;YGR013W;YHR086W;YIL061C;YKL012W;YMR125W
12,YDR166C,0.48800179791134407,4.0936612627257505,0.4818410269464533,6,0.9827526369729143,15,YBR102C;YDR166C;YER008C;YGL233W;YIL068C;YJL085W;YLR166C;YPR055W
13,YDR449C,0.48749615533922674,6.18239788984865,0.107185776375597,12,0.8537857557498243,15,YCR057C;YDR449C;YER082C;YHR196W;YJL069C;YJL109C;YLR409C;YPR137W;YPR144C
14,YER157W,0.4835772512206769,3.9556329806923225,0.4691078457245124,7,0.9172063868568604,17,YER157W;YGL005C;YGL223C;YGR120C;YML071C;YNL041C;YNL051W;YPR105C
15,YNL330C,0.483116376445471,4.543281140392884,0.1556787474202081,8,0.8218724833615936,37,YMR075W;YMR263W;YNL330C;YOL004W;YPL139C;YPL181W;YPR023C
16,YGL011C,0.4759066326449889,4.572126174211736,0.1759712997722239,11,0.907196640038814,19,YER094C;YFR050C;YGL011C;YGR135W;YJL001W;YML092C;YOL038W;YOR362C;YPR103W
17,YKL022C,0.4731799353808739,4.063127227734306,0.3696773405485963,8,0.9597009698662353,14,YBL084C;YDR118W;YGL240W;YHR166C;YKL022C;YLR102C;YLR127C;YNL172W;YOR249C
18,YNL126W,0.47166788923139324,2.3234793165304684,0.6249654536752796,3,0.9484438091966164,25,YAL047C;YHR172W;YLR212C;YNL126W
19,YDR477W,0.47048731161700913,3.104932918826992,0.3421573503822944,6,0.8442408921388105,36,YDR028C;YDR422C;YDR477W;YER027C;YER129W;YGL115W;YGL208W
20,YLR277C,0.46112211555401583,4.432509842799937,0.2429382719967598,10,0.8387488631931599,18,YAL043C;YDR195W;YDR301W;YER133W;YJR093C;YKL059C;YKR002W;YLR115W;YLR277C;YNL317W;YPR107C
21,YHR052W,0.4594511857126499,6.609895087789234,0.0485316267935487,13,0.6631204163090467,16,YDR060W;YFL002C;YHR052W;YHR085W;YNL110C;YOR206W;YOR272W;YPL043W
22,YPR190C,0.457237125936484,5.035172640510661,0.2433175740554961,9,0.9097753456077875,10,YDL150W;YKL144C;YKR025W;YNL151C;YNR003C;YOR116C;YOR207C;YPR110C;YPR187W;YPR190C
23,YML065W,0.45115510052833396,2.6916751008870814,0.4728626278458162,5,0.9353059640114407,21,YBR060C;YHR118C;YLL004W;YML065W;YNL261W;YPR162C
24,YOR254C,0.44947435713283007,2.3022846167585156,0.6895018249536725,3,0.8948640400233221,17,YBR171W;YLR292C;YOR254C;YPL094C
25,YFR004W,0.4467929515794753,4.291917644043974,0.1781679459792394,12,0.674098115576881,24,YDL097C;YFR004W;YFR052W;YHL030W;YHR200W;YKL145W
26,YKR068C,0.4466141292481294,3.5607121501955628,0.2527566287376223,10,0.8653189340900818,18,YBR254C;YDR246W;YDR407C;YDR472W;YGR166W;YKR068C;YML077W;YMR218C;YOR115C
27,YGL092W,0.44587111709413796,3.040499789036635,0.3261592061615013,5,0.8973679529724082,29,YDL116W;YGL092W;YGL100W;YJR042W;YKL057C;YLR208W
28,YBR123C,0.4443118434761874,3.006623990805622,0.4922507199110399,5,0.994840096432528,11,YAL001C;YBR123C;YDR362C;YGR047C;YOR110W;YPL007C
29,YDL148C,0.4433466443313574,5.162893485503065,0.0506724445167316,12,0.7901855914555103,17,YBR247C;YDL148C;YGR090W;YGR128C;YPR144C
30,YOR260W,0.4388378181380246,3.545548673001608,0.4187665735940697,7,0.8752611758713889,12,YDR211W;YER025W;YGR083C;YJR007W;YKR026C;YLR291C;YOR260W
31,YPL011C,0.4365111171136395,3.559639213818489,0.4406011148625469,7,0.9002709220670599,8,YBR198C;YDR145W;YGR274C;YML015C;YMR005W;YMR236W;YPL011C
32,YNL258C,0.43380336152659754,2.9478092166399628,0.4026439528538044,6,0.9395725913054851,15,YDR498C;YGL098W;YGL145W;YLR440C;YNL258C;YOR075W
33,YAR007C,0.4292189559155612,3.564066855972852,0.0881780110951747,8,0.7776471972565693,35,YAR007C;YBR136W;YDR097C;YHR164C;YIR002C;YML032C;YNL312W;YOL090W
34,YGL150C,0.4265767102773238,3.274370151401807,0.1936761945520211,8,0.7813986444099433,29,YDL002C;YDR190C;YFL013C;YGL150C;YLR052W;YNL059C
35,YDR404C,0.42115515635195877,4.952222622002832,0.1549274378181946,8,0.7538016025135094,18,YDL115C;YDR404C;YGL070C;YGR005C;YGR063C;YGR186W;YIL021W;YJL140W;YML010W;YOL005C;YOR151C
36,YGR200C,0.41988910016402253,2.587411311260267,0.5513680482789983,4,0.9062510570761937,11,YGR200C;YHR187W;YLR384C;YPL086C;YPL101W
37,YLR421C,0.4188240488386082,3.884089220678034,0.1322574273469363,12,0.8341064403496893,11,YDR427W;YHL030W;YLR421C
38,YDR238C,0.4185838398056893,3.2977819078853705,0.2656166731607862,6,0.9492568586878509,16,YDL145C;YDR238C;YFR051C;YGL137W;YIL076W;YNL287W;YPL010W
39,YOR341W,0.4175145006112308,3.6831744421119113,0.2020657777047195,8,0.8604664964846377,17,YJR063W;YNL248C;YOR340C;YOR341W;YPR010C;YPR110C
40,YDL126C,0.41466050301991375,2.86542349277677,0.0488354705031455,4,0.7774253638368764,50,YBL058W;YBR170C;YDL126C;YDR049W;YGR048W
41,YLR357W,0.41435214228220285,4.7349096481441695,0.1360753933413668,9,0.7543412034951655,16,YCR052W;YDR303C;YFR037C;YIL126W;YKR008W;YLR033W;YLR357W;YMR091C
42,YBR289W,0.4140039155143557,3.5348426057987745,0.2183302014061686,8,0.8443200424012238,17,YBR289W;YDR073W;YFL049W;YHL025W;YJL176C;YMR033W;YNR023W;YPL016W
43,YJL061W,0.41143589163646016,2.1746621350527926,0.4190654769072228,4,0.9636472726591843,17,YER107C;YIL115C;YJL041W;YJL061W;YMR047C
44,YGL244W,0.4107019396698026,2.3493773345102418,0.3316120169948979,4,0.8768080862757582,27,YBR279W;YGL244W;YLR418C;YOL145C;YOR123C
45,YOR244W,0.40949831949812493,3.2181464732878964,0.1863304851752046,6,0.8131901701336015,28,YDR359C;YFL024C;YJL081C;YML007W;YNL107W;YOR244W;YPR023C
46,YLR200W,0.4087930978789087,1.813891484586732,0.5569074521438788,3,0.9855462700207198,11,YGR078C;YLR200W;YML094W;YNL153C
47,YGR030C,0.40729630305355624,2.4178653613685963,0.217595228016933,7,0.9799604404545063,18,YAL033W;YBL018C;YBR257W;YGR030C;YNL221C
48,YNL288W,0.4063668676130998,2.456384942133914,0.5640537532359521,4,0.872432082019032,9,YAL021C;YCR093W;YGR134W;YNL288W;YNR052C
49,YIL144W,0.40296947361022045,1.6618969100985448,0.4810993493832344,3,0.9942715154642111,15,YER018C;YIL144W;YMR117C;YOL069W
50,YDR138W,0.39875952423407296,3.873207134962195,0.2499101194615223,6,0.7944896585745022,16,YCL011C;YDL084W;YDR138W;YHR167W;YML062C;YNL004W;YNL139C;YNL253W
51,YML105C,0.3975477793742757,3.531354591882959,0.426469962860001,5,0.8263147710412405,7,YDL092W;YKL122C;YML105C;YPL210C;YPL243W;YPR088C
52,YGL194C,0.3973270746782084,2.622709494386821,0.3561872078280553,5,0.8137859296608131,20,YBR103W;YCR033W;YDR155C;YGL194C;YIL112W;YKR029C
53,YPL151C,0.39479982676432146,2.806678608314804,0.1459981263869435,11,0.8782469564704971,11,YBR065C;YER172C;YLL036C;YPL151C
54,YLR240W,0.39216865073359486,1.1043983920191138,0.3607453460031295,3,0.8608417214720872,33,YLR240W;YLR360W;YPL120W
55,YDL216C,0.38788650899139687,2.8559210815819926,0.4298694313695912,5,0.7515586343582157,14,YDL147W;YDL216C;YDR179C;YIL071C;YMR025W;YOL117W
56,YGL105W,0.38753523249249866,1.5480828218873846,0.7081392912998375,2,0.7959524087098917,11,YGL105W;YGL245W;YGR264C
57,YLR381W,0.3846393204700922,2.4201678388291663,0.1198865637114186,8,0.9879310896054069,14,YDR254W;YDR318W;YGR179C;YLR381W;YPL018W
58,YNL284C,0.38443780128199695,2.400381287161262,0.0368463934939181,18,0.7348829961046452,8,YBL038W;YNL284C
59,YOR078W,0.3842877784015122,3.861894062740247,0.0309297430044722,12,0.7561459989623098,12,YOR078W
